lbl,dflt
"report to shop","Bericht an das Geschäft"
"techs","Techniker"
"tech","Tech"
"technician","Techniker"
"technicians","Techniker"
"start time","Startzeit"
"address","Adresse"
"addr","Adresse"
"vehicle","Fahrzeug"
"vehicles","Fahrzeuge"
"veh","Fahrzeug"
"no veh assign","Kein Fahrzeug zugewiesen"
"site cont","Standort Cont"
"sales rep","Handelsvertreter"
"note","Hinweis"
"notes","Anmerkungen"
"equip","Ausstatten"
"equipment","Ausrüstung"
"task","Aufgabe"
"tasks","Aufgaben"
"jsa","JSA"
"safety plan","Sicherheitsplan"
"auth to proc","Genehmigung. Fortfahren"
"photos","Fotos"
"field ticket","Eintrittskarte"
"pre ticket opts not avail","Zusätzliche Pre-FT-Artikel sind erst nach Ihrer Ankunft vor Ort erhältlich"
"pre ticket opts","Pre-FT-Artikel"
"clock in","Uhr einschalten"
"clock out","Uhr aus"
"cat","Katze"
"clock in success","Erfolgreich einchecken"
"clock out success","Abmeldung erfolgreich"
"clocked in","Eingetaktet"
"clocked out","Ausgetaktet"
"cur week","Aktuelle Woche"
"last week","Letzte Woche"
"type","Typ"
"sub type","Untertyp"
"date","Datum"
"onsite","Vor Ort"
"travel","Reisen"
"total","Insgesamt"
"branch","<LBLBRANCH>"
"month","Monat"
"months","Monate"
"show","anzeigen"
"view","Siehe"
"open","Öffnen"
"find comp train","Schulung/Zertifizierung finden"
"search","Suche"
"pending","Anhängig"
"no pend train","Keine ausstehenden Schulungen gefunden."
"no completed train","Keine abgeschlossenen Schulungen gefunden."
"year","Jahr"
"years","Jahre"
"comp train","Ausbildung/Zertifizierung"
"train info","Informationen zur Ausbildung/Zertifizierung"
"due","Fällig"
"desc","Desc"
"description","Beschreibung"
"materials","Materialien"
"doc","Doc"
"docs","Dokumente"
"download","Herunterladen"
"url","URL"
"downloading","Herunterladen von"
"quiz","Quiz"
"tech sign submit","Tech Sign & Submit"
"clear","Klar"
"done","Erledigt"
"signature","Unterschrift"
"printed name","Gedruckter Name"
"passed","Bestanden"
"settings","Einstellungen"
"device settings","Geräteeinstellungen"
"general","Allgemein"
"weather icons","Wetter-Symbole"
"set","Satz"
"disp temp in","Anzeige der Temperatur in"
"fahrenheit","Fahrenheit"
"celsius","Celsius"
"push notifs","Push-Benachrichtigungen"
"language","Sprache"
"refresh app","App aktualisieren"
"refresh app instruct","Wenn Sie Probleme mit der App haben, kann eine Aktualisierung helfen"
"offline templates","Offline-Vorlagen"
"refresh soft","Soft (blieb eingeloggt)"
"refresh full","Vollständig"
"advanced settings","Erweiterte Einstellungen"
"base server url","URL des Basisservers"
"test","Test"
"do not change unless told by <APPNAME>","NICHT ohne Anweisung des <APPNAME> ändern!"
"reset","Zurücksetzen"
"status","Status"
"up","Nach oben"
"down","Daunen"
"local db","Lokale Datenbank"
"pretrip insp","Inspektion vor Fahrtantritt"
"pretrip insp already done","<COUNT> Für dieses Fahrzeug wurde(n) heute (<DATE>) bereits eine Vorabkontrolle durchgeführt. Möchten Sie eine weitere eingeben?"
"yes","Ja"
"no","Nein"
"prev inspections","Früher Inspektionen"
"prev insps","Früher Insps"
"inspection","Inspektion"
"addl notes","Zusätzliche Hinweise"
"sig failed try again","Unterschrift fehlgeschlagen. Bitte erneut unterschreiben"
"must answer all questions","Sie müssen alle Fragen beantworten, bevor Sie sich anmelden können"
"must answer all req questions","Sie müssen alle erforderlichen Fragen beantworten, bevor Sie Ihre Bewerbung einreichen können."
"must answer specific question","Sie müssen die Frage <QUEST> beantworten, bevor Sie sie abschicken können."
"failed","Gescheitert"
"not saved leave screen","Ihre Änderungen werden nicht gespeichert. Sind Sie sicher, dass Sie diesen Bildschirm verlassen möchten?"
"pretrip hist","Geschichte vor der Reise"
"no insp found","Keine Inspektionen gefunden"
"show last","Letzte anzeigen"
"inspections","Inspektionen"
"insp","Insp"
"server list ordered by dist loc","Serverliste sortiert nach Entfernung von Ihrem Standort"
"gen info","Allgemeine Informationen"
"signed","Unterzeichnet"
"company","Unternehmen"
"job name","Job Name"
"job address","Arbeitsplatz Adresse"
"job addr","Job Addr"
"competent person","Zuständige Person"
"addl workers","Zusätzliche Arbeitskräfte"
"addl worker","Zusätzliche Arbeitskräfte"
"addl","Zusatz"
"must sign before download","Sie müssen unterschreiben, bevor Sie herunterladen können"
"no download offline","Herunterladen ist offline nicht möglich"
"odometer","Kilometerzähler"
"must enter odometer","Sie müssen den aktuellen Kilometerstand des Fahrzeugs eingeben"
"save","Speichern Sie"
"saved","Gerettet"
"view photos","Fotos ansehen"
"no pics found","Keine Bilder gefunden"
"already signed by","Bereits unterzeichnet von: <NAME>"
"cust sig or cust not avail","Sie müssen eine Unterschrift des Kunden einholen oder angeben, dass der Kunde nicht verfügbar ist."
"or","OR"
"cust not avail","Kunde nicht verfügbar"
"submitted","Eingereicht"
"customer sign","Kundenschild"
"predefined notes","Vordefinierte Notizen"
"auth to proc manual entry","Sie können die Berechtigung zum Fortfahren immer noch manuell eingeben, aber es sind keine Standardwerte/Hinweise verfügbar."
"saving x of x msg","Speichern von <CUR> von <TOT>"
"wo docs step 1","Schritt 1 - Kundendokumente"
"wo docs step 2","Schritt 2 - Technische Unterlagen"
"prev signed","Prev. Unterzeichnet"
"must enter doc before sign","Sie müssen das <DOC> eingeben, bevor Sie es unterschreiben können."
"select doc to sign","Bitte wählen Sie ein zu unterzeichnendes Dokument"
"must sign before save","<PERSON> muss unterschreiben, bevor <DOC> gespeichert werden kann."
"one sig multi doc disclaimer","Mit meiner Unterschrift bestätige ich, dass meine Unterschrift auf dem/den oben ausgewählten Dokument(en) geleistet wird."
"signed by customer","Unterschrift des Kunden"
"pending cust sig","Ausstehende Unterschrift"
"pending tech sig","Ausstehende Tech-Sig"
"all docs completed","Alle Dokumente ausgefüllt"
"theme","Thema"
"light","Licht"
"dark","Dunkelheit"
"match device theme","Gerät (<THEME>)"
"not avail offline","Diese Aktion ist offline nicht verfügbar"
"time card","Stempelkarte"
"breaks","Pausen"
"location","Standort"
"all locations","Alle Standorte"
"on site min","Vor Ort Min"
"travel min","Reisen Min"
"no lunch break","Ich habe das Mittagessen durchgearbeitet"
"no lunch break they","Sie arbeiteten bis zum Mittagessen"
"no lunch break 2","Keine Mittagspause"
"auto lunch min","Auto Mittagessen Min"
"add","hinzufügen."
"on wo","(auf WO)"
"on job","(bei der Arbeit)"
"delete","Löschen"
"delete worker and time","<NAME> aus diesem <TYPE> löschen?\n\nWarnung: Dies löscht auch ihre Zeit."
"delete worker","<NAME> aus diesem <TYPE> löschen?"
"select addl workers on ft","Wählen Sie alle zusätzlichen Arbeitskräfte, die an dieser FT gearbeitet haben"
"job info","Job-Infos"
"job po no","Job-Postanschrift"
"wo po no","WO P.O. Nr."
"po","P.O."
"requisition no","Anforderungsnummer"
"vehicle mileage","Fahrzeug <MILES>"
"addl info","Weitere Informationen"
"ft internal notes","FT Interne Notizen"
"delete task","Aufgabe löschen: <NAME>?"
"select task","Aufgabe auswählen"
"hours","Stunden"
"min","Min"
"hrs","Std."
"minutes","Protokoll"
"printed notes","Gedruckte Notizen"
"internal notes","Interne Anmerkungen"
"must enter qty","Sie müssen eine Menge eingeben"
"take photo","Nehmen Sie"
"all job photos","Alle im Job"
"unsupported file type","Nicht unterstützter Dateityp ausgewählt. Bitte wählen Sie eine <TYPE>-Datei."
"pic cnt","Anzahl der Fotos:"
"parts and materials","Teile und Materialien"
"submit","Einreichen"
"only the lead can perform this action","nur der leitende Techniker kann diese Aktion durchführen."
"must enter all times before submit","Sie müssen alle Zeiten vor dem Absenden eingeben."
"submit ft terms","Indem Sie auf "Absenden" klicken, bestätigen Sie, dass die angegebenen Informationen nach Ihrem besten Wissen und Gewissen wahrheitsgemäß sind."
"must enter start loc","Sie müssen Ihren Startort eingeben."
"must enter comp loc","Sie müssen Ihren vollständigen Standort eingeben."
"next","Weiter"
"only go back days","Sie können nur <DAYS> Tage von heute an zurückgehen."
"errand","Errandung"
"errand desc","Botengang Desc"
"linked to job","Verbunden mit Job"
"tech contact","Technischer Kontakt"
"tech cell","technische <LBLCELL>"
"errand address","Adresse für Botengänge"
"lunch prev taken on","Mittagessen am <FT>"
"lunch worked through on","Arbeitete während des Mittagessens an <FT>"
"lunch manually taken","Das Mittagessen wurde kurz vorher manuell eingenommen <FT>"
"lunch not qualified","Nicht genug Zeit für das Mittagessen"
"time","Zeit"
"phone dialer","Telefonwählgerät"
"no phone dialer for call","Das Gerät scheint kein Telefonwählgerät zu unterstützen.\nKonnte nicht anrufen: <NUMMER>"
"select addl workers on er","Wählen Sie alle zusätzlichen Arbeiter, die an dieser Besorgung gearbeitet haben"
"already on ft","bereits auf <TYPE>"
"select at least 1 addl worker","Sie müssen mindestens 1 zusätzlichen Arbeitnehmer auswählen"
"select at least 1 veh","Sie müssen mindestens 1 Fahrzeug auswählen"
"auto lunch na","Auto Mittagessen NA"
"remote support","Fernwartungssitzung starten"
"ios add to hs","iOS unterstützt derzeit nicht das automatische Hinzufügen zum Startbildschirm. Bitte folgen Sie diesen 3 einfachen Schritten"
"add to hs","App zum Startbildschirm hinzufügen?"
"app info","Über"
"version","Version"
"changes","Änderungen"
"space used","Verwendeter Speicherplatz"
"used","Gebraucht"
"available","Verfügbar"
"used perc","Benutzt %"
"help feedback","Hilfe / Feedback"
"phone","Telefon"
"email","E-Mail"
"launch maps","Karten starten in"
"update avail","Ein Update ist verfügbar. Klicken Sie hier, um es jetzt anzuwenden"
"app updated","App auf die neueste Version aktualisiert (<VER>)"
"happy bday","Herzlichen Glückwunsch zum Geburtstag <NAME>!"
"no parts found for","Keine Teile / Materialien für <LOC> gefunden"
"add part","Teil hinzufügen /\n Mat."
"sel part","Teil / Mat. auswählen"
"sub category","Unterkategorie"
"part no","Teil Nr."
"part number","Teil Nummer"
"serial number","Seriennummer"
"check 4 updt","Auf Aktualisierung prüfen"
"check 4 updt msg","Die Prüfung auf Aktualisierungen läuft im Hintergrund. Wenn ein Update verfügbar ist, erhalten Sie eine Benachrichtigung, um das Update anzuwenden."
"sel serial no","Seriennummer auswählen"
"must add 1 task to enter parts","Sie müssen mindestens 1 (eine) Aufgabe zu diesem Feldticket hinzufügen, bevor Sie Teile/Materialien hinzufügen können."
"quantity","Menge"
"t&m","T & M"
"length","Länge"
"feet","Meter"
"depth","Tiefe"
"inch","Zoll"
"inches","Zoll"
"assoc part with task","Teil mit Aufgabe verknüpfen"
"must assoc with task","Teil / Material muss mit einer Aufgabe verbunden sein"
"delete part","Teil löschen: <NAME>?"
"select parts on ft","Wählen Sie alle Teile und Materialien, die für diese FT verwendet wurden"
"serial abbr","SN"
"view safety plan b4 proceed","Sie müssen den Sicherheitsplan einsehen, bevor Sie fortfahren können."
"save task to add part","Dadurch wird die Aufgabe gespeichert und Sie können ein Teil hinzufügen."
"ok dont show again","OK (nicht mehr anzeigen)"
"schedule","Zeitplan"
"filters","Filter"
"filter","Filter"
"lead","Blei"
"options","Optionen"
"today","Heute"
"tomorrow","Morgen"
"yesterday","Gestern"
"wos hiden by filters","Einige WOs werden durch Filter verdeckt"
"show addl workers","Weitere Arbeiter anzeigen"
"show address","Adresse anzeigen"
"sort by tech","Nach Technik sortieren (nicht nach Zeit)"
"use revolving week","Revolving Week verwenden"
"orig","Ursprünglich"
"show sched hrs","Zeitplan anzeigen. Stunden"
"scheduled hrs","Geplante Stunden"
"assign anyway","Trotzdem zuweisen"
"sched hrs","Zeitplan. Std."
"est","Est"
"find customer","Kunden finden"
"customers","Kunden"
"search cust city contact","Kunde, Stadt oder Kontakt"
"no results found","Keine Ergebnisse gefunden"
"select","Wählen Sie"
"active only","Nur aktiv"
"map only","Nur Karte"
"active","Aktiv"
"main","Hauptseite"
"physical","Physikalisch"
"mailing","Mailing"
"addr1","Adresse 1"
"addr2","Adr. 2"
"city","Stadt"
"state","<LBLSTATE>"
"zip","<LBLZIP>"
"no addr defined map","Kann nicht auf eine leere Adresse abgebildet werden."
"no addr","Keine Adresse eingegeben."
"contacts","Kontakte"
"cell","<LBLCELL>"
"cell abbr","H"
"office","Büro"
"office abbr","B"
"not authorized","Sie sind nicht berechtigt, diese Aktion durchzuführen"
"not authorized only sales rep on","Sie sind nicht berechtigt, diese Aktion durchzuführen. Sie können nur <ITEM> anzeigen, für das Sie der Vertreter sind"
"contact","Kontakt"
"first name","Vorname"
"last name","Nachname"
"ext","Ext."
"billing contact","Kontakt für die Rechnungsstellung"
"site contact","Kontakt vor Ort"
"aging","Alterung"
"delete contact","Kontakt löschen: <NAME>?"
"cust cannot be inactive surplus","Ein Kunde kann nicht inaktiv sein, wenn er ein überschüssiges Guthaben hat."
"cust cannot be inactive inv bal","Ein Kunde kann nicht inaktiv sein, wenn er eine offene Rechnung hat."
"days","Tage"
"in collections","In Sammlungen"
"total out","Total Aus"
"total outstanding","Insgesamt ausstehend"
"surplus acct","Überschuss-Konto"
"aging detail","Alterung Detail"
"aging summary","Zusammenfassung der Alterung"
"invoice id","Rechnungsnummer"
"invoice date","Datum der Rechnung"
"invoice amt","Rechnungsbetrag"
"inv id","Rech. ID"
"invoice no","Rechnung Nr."
"inv no","Rech. Nr."
"inv date","Rech. Datum"
"inv amt","Rechnungsbetrag"
"pmt adj","Pmts / Adj."
"invoice bal","Rechnungssaldo"
"inv bal","Inv. Bal"
"days out","Tagesausflüge"
"user agent","Benutzer-Agent"
"detected device","Erkanntes Gerät"
"email to support","E-Mail an den Support"
"device","Gerät"
"device size","Gerät Größe"
"expires","Abgelaufen"
"expired","Abgelaufen"
"expiring","Auslaufende"
"entered by","Eingegeben von"
"departure checklist","Checkliste für die Deponierung"
"item","Artikel"
"na","K.A."
"find job","Job finden"
"jobs","Stellenangebote"
"search job name cust job addr","Auftragsname, Kunde oder Auftragsadresse"
"expecting us","Erwartet uns"
"promised","Versprochen"
"sched dt","Zeitplan. Dt."
"category","Kategorie"
"dispatch note","Versandanzeige"
"created by","Erstellt von"
"created dt","Erstellt am"
"upload dt","Datum des Hochladens"
"last edit by","Zuletzt bearbeitet von"
"last edit dt","Datum der letzten Bearbeitung"
"reviewed","Überprüft"
"contract ongoing","Vertrag / Laufend"
"certified","Zertifiziert"
"lat","Lat"
"long","Lang"
"use my location","Meinen Standort verwenden"
"override with cur loc","Überschreiben Sie die Jobadresse mit Ihrem aktuellen Standort?"
"override wo with cur loc","Überschreiben Sie die WO-Adresse mit Ihrem aktuellen Standort?"
"select cust","Kunde auswählen"
"view mod cust","Kundeninformationen anzeigen/ändern"
"view mod cont","Kontaktinformationen anzeigen/ändern"
"work orders","Arbeitsaufträge"
"work order","Arbeitsauftrag"
"unit of measure","Maßeinheit"
"price","Preis"
"task price","Aufgabe Preis"
"minus adjustments","Minus Anpassungen"
"total task price","Gesamtpreis der Aufgabe"
"taxable","Steuerpflichtig"
"tax perc","Steuer %"
"payroll","Gehaltsabrechnung"
"tax rate","Steuersatz"
"job is tax exempt","Dieser Job ist steuerbefreit"
"exempt reason","Freigegeben Grund"
"must uncheck customer not avail to proc","Um fortzufahren, müssen Sie das Häkchen bei "Kunde nicht verfügbar" entfernen."
"tax","Steuer"
"sub total","Zwischensumme"
"cannot charge tax on tax exempt","Dieser <JOB> ist als steuerbefreit gekennzeichnet.\n\n Sie können auf einen steuerbefreiten <JOB> keine Steuern erheben."
"time on task","Zeit für diese Aufgabe"
"pic already de-activated","Foto ist bereits inaktiv"
"start dt","Start Dt"
"first ft as start dt","Erste FT als Starttakt verwenden"
"set start dt as","Startdatum festlegen als:"
"rop for all tasks","ROP für alle Aufgaben:"
"lead tech","Technischer Leiter"
"labor","Arbeit"
"benefit","Nutzen Sie"
"group","Gruppe"
"include techs addl rate","Inklusive Tech's Add'l Rate"
"comb benefit labor for cert","Kombinieren Sie bei der Meldung von zertifizierten Leistungen (falls zutreffend) den Nutzen mit der Arbeit (Haupt- und Zusatzleistungen)"
"invoice","Rechnung"
"terms","Begriffe"
"job pos","Job PO's"
"job po","Job PO"
"vendor","Anbieter"
"new vendor","Anbieter"
"est cost","Schätzung. Kosten"
"actual cost","Tatsächliche Kosten"
"addl po info","Zusätzliche PO-Informationen"
"ordered by","Bestellt von"
"closed date","Abgeschlossenes Datum"
"reopen po","PO wiedereröffnen"
"close po","PO schließen"
"delete job po","Auftrag löschen PO: <PO>?"
"sched","Zeitplan"
"color","Farbe"
"req training","Erforderliche Ausbildung / Zertifizierung"
"req trainings","Erforderliche Schulungen / Zertifizierungen"
"user","Benutzer"
"new user","Neuer Benutzer"
"audit log","Audit-Protokoll"
"who","Wer"
"close","Schließen Sie"
"every job req cust","Jeder Auftrag erfordert einen Kunden. Sie müssen einen Kunden auswählen, um diesen Auftrag hinzufügen zu können."
"project manager","Projektleiter"
"main contact","Hauptkontakt"
"customer contact(s)","Kundenkontakt(e)"
"job contact","Job Kontakt"
"add new cust contact","Neuen Kundenkontakt hinzufügen"
"add new job contact","Neuen Job hinzufügen Kontakt"
"linked jobs","Verknüpfte Jobs"
"task not taxable","Aufgabe ist nicht steuerpflichtig"
"link to existing job","Link zum bestehenden Job"
"create and link new job","Erstellen und Verknüpfen mit einer neuen Stelle"
"unlink job","Job entkoppeln: <JOB>?"
"unlink","Unlink"
"this job","Dieser Job"
"cannot link job to itself","Sie können einen Auftrag nicht mit sich selbst verknüpfen."
"job is already linked","Job: <JOB> ist bereits verknüpft."
"job linked to another series","Die von Ihnen ausgewählte Stelle ist mit einer anderen Serie verknüpft.\n\nSind Sie sicher, dass Sie ihn stattdessen mit diesem Auftrag verknüpfen wollen?"
"site cont des","Orange = Ansprechpartner vor Ort"
"job task","Job Aufgabe"
"ftick task","FT Aufgabe"
"quote task","Zitat Aufgabe"
"specify rop per task","ROP pro Aufgabe angeben (nur Desktop)"
"wo","WO"
"same as job","Gleich wie Job"
"good morning","Guten Morgen"
"good afternoon","Guten Tag"
"good evening","Guten Abend"
"sent to tech","An die Technik geschickt"
"conf with tech","Bestätigt mit Technik"
"vehicle cat","Fahrzeug Kat."
"lead for work order is the driver for vehicle","Der Verantwortliche für den Arbeitsauftrag ist der Fahrer für dieses Fahrzeug"
"must have driver for vehicle","Sie müssen einen Fahrer für dieses Fahrzeug haben"
"warning user has not passed req training","Warnung: <USER> hat die erforderliche Schulung für diese Stelle nicht bestanden."
"warning user has not passed req training task wo","Warnung: <USER> hat die erforderliche(n) Schulung(en) für die zugewiesenen Aufgaben auf dieser WO nicht bestanden."
"crew lead add crew to work order","<USER> ist ein Teamleiter.\nMöchten Sie diese Mannschaft zu diesem Arbeitsauftrag hinzufügen?"
"add crew","Besatzung hinzufügen"
"shop report time","Zum Shop melden"
"end time","Endzeit"
"end dt","Ende Dt"
"assign tasks","Aufgaben zuweisen"
"assign","zuweisen"
"assign time","Zeit zuweisen"
"qty","Menge"
"show qa","Q/A anzeigen"
"name","Name"
"driver","Treiber"
"wo status log","WO-Status-Protokoll"
"conf with cust","Bestätigt mit Cust"
"tech returned ft","Tech Zurückgegebene FT"
"wo address","WO-Adresse"
"leave blank to use job addr","Leer lassen, um Job-Adresse zu verwenden"
"wo notes","WO Anmerkungen"
"copy po from","Kopie PO von"
"last edit","Zuletzt"
"must specify date for wo","Sie müssen ein Datum für diesen Arbeitsauftrag eingeben"
"no task assigned to leave click cancel","Es wurden noch keine Aufgaben zugewiesen. Um dieses Formular zu verlassen, ohne Aufgaben zuzuweisen, klicken Sie auf "Abbrechen"."
"must select a tech to save","Vor dem Speichern müssen Sie einen Techniker auswählen."
"start time cannot be blank","Die Startzeit kann nicht leer sein."
"tasks selected but no time","Es wurden Aufgaben ausgewählt, aber es wurde keine Zeit für die ausgewählten Aufgaben zugewiesen."
"completed same after departed night work exception","Die Abfertigungszeit sollte gleich oder nach der Abfahrtszeit sein. Nachtarbeit könnte eine Ausnahme sein. Möchten Sie dies korrigieren?"
"completed same after arrived night work exception","Die Beendigung der Arbeit sollte mit der Ankunftszeit übereinstimmen oder danach erfolgen. Nachtarbeit könnte eine Ausnahme sein. Möchten Sie dies korrigieren?"
"completed same after started night work exception","Die Beendigung der Arbeit sollte zur gleichen Zeit oder nach der Anfangszeit erfolgen. Nachtarbeit könnte eine Ausnahme sein. Möchten Sie dies korrigieren?"
"correct","Richtig"
"leave as is","Unverändert lassen"
"departed same after arrived night work exception","Die Abfahrtszeit sollte mit der Ankunftszeit übereinstimmen oder danach liegen. Nachtarbeit könnte eine Ausnahme sein. Möchten Sie dies korrigieren?"
"departed same after started night work exception","Die Abfahrtszeit sollte mit der Startzeit übereinstimmen oder danach liegen. Nachtarbeit könnte eine Ausnahme sein. Möchten Sie dies korrigieren?"
"arrived same after started night work exception","Die Ankunftszeit sollte mit der Startzeit übereinstimmen oder danach liegen. Nachtarbeit könnte eine Ausnahme sein. Möchten Sie dies korrigieren?"
"wo promised not same as started","Diese WO wurde für <PROMISED> versprochen. Sind Sie sicher, dass Sie die Startzeit <STARTTIME> haben wollen?"
"wo cannot be over 24 hrs create 2nd wo","Arbeitsaufträge können nicht länger als 24 Stunden dauern. Wenn mehr als 24 Stunden Arbeit geplant werden müssen, erstellen Sie bitte einen zweiten Arbeitsauftrag."
"work order invoiced be careful","Hinweis: Dieser Arbeitsauftrag wurde bereits in Rechnung gestellt. Bitte gehen Sie vorsichtig vor."
"work order invoiced read only","Hinweis: Dieser Arbeitsauftrag wurde bereits in Rechnung gestellt und ist daher nur lesbar."
"work order field ticket be careful","Hinweis: Zu diesem Arbeitsauftrag gibt es ein entsprechendes Feldticket. Bitte gehen Sie vorsichtig vor."
"work order field ticket some read only","Hinweis: Dieser Arbeitsauftrag hat ein entsprechendes Feld Ticket. Einige Felder sind daher schreibgeschützt."
"est dur","Est. Dauer"
"opening tech view","Eröffnung in Tech View..."
"wo does not have ft create it","Diese WO hat noch keine FT. Jetzt erstellen?"
"create ft","FT erstellen"
"no wo for job create now","Es gibt keine Arbeitsaufträge für diesen Auftrag\n(der Auftrag ist erstellt, aber es ist niemand zugewiesen/geplant, um die Arbeit zu erledigen).\n\nMöchten Sie jetzt einen Arbeitsauftrag erstellen?"
"create wo","WO erstellen"
"continue saving","Sparen fortsetzen"
"dont show again","Nicht mehr anzeigen"
"save changes","Änderungen speichern?"
"want to save changes","Möchten Sie Ihre Änderungen speichern?"
"must set a tent start date","Sie müssen ein Tenatative Sched. Datum"
"retention","Vorratsspeicherung"
"po req but no po","Dieser Kunde benötigt eine Bestellung, aber es wurde noch keine Bestellung eingegeben.\nMöchten Sie jetzt eine Bestellung aufgeben?"
"req no req but no req no","Dieser Kunde benötigt eine Anforderungsnummer, aber es wurde noch keine Anforderungsnummer eingegeben.\nMöchten Sie jetzt eine Anforderungs-Nr. eingeben?"
"new job","Neuer Job"
"new wo","Neue WO"
"office view","Büroansicht"
"tech view","Technische Ansicht"
"new wo for job","Neue WO für diesen Job"
"ft","FT"
"sel tech not in list","Wählen Sie eine Technik, die nicht in der Liste enthalten ist"
"sel veh not in list","Ein Fahrzeug auswählen, das nicht in der Liste enthalten ist"
"quick list items","Quick List Items"
"list preface","Liste Vorwort"
"you must select at least 1 item","Sie müssen mindestens 1 Artikel auswählen"
"call office","Büro anrufen"
"actuals","Tatsächliche Zahlen"
"quotes","Zitate"
"quote","Zitat"
"find quote","Angebot finden"
"prepared for","Vorbereitet für"
"quote dt","Zitat Dt"
"tent start","Zelt. Start"
"lead source","Bleiquelle"
"print","Drucken"
"full pricing","Vollständige Preisgestaltung"
"full but no each","Voll, aber kein 'Jeder'"
"total only","Nur insgesamt"
"line items only","Nur Einzelposten"
"report","Bericht"
"unknown","Unbekannt"
"linked quotes","Verknüpfte Zitate"
"converted to job","Umgewandelt in Job"
"open job","Offene Stelle"
"unlink from job","Verknüpfung vom Auftrag lösen"
"view mod cust","Kundeninformationen anzeigen/ändern"
"distance","Entfernung"
"for","für"
"must set a quote date","Sie müssen ein Angebotsdatum festlegen."
"quote converted read only","Dieses Angebot wurde in einen Auftrag umgewandelt und ist nun schreibgeschützt."
"quote converted nsi read only","ieses Angebot wurde in eine NSI umgewandelt und ist nun schreibgeschützt."
"quote signed read only","Dieses Zitat wurde signiert und ist nun schreibgeschützt."
"confirm unlink quote job","Sind Sie sicher, dass Sie die Verknüpfung dieses Zitats mit der Stelle aufheben möchten: <JOBSID>?"
"cannot link job to multiple quotes","Auftrag kann nicht mit mehreren Angeboten verknüpft werden. Der Auftrag ist bereits mit einem Angebot verknüpft: <QUOTEID>"
"quote price","Preisangebot"
"delete sig","Signatur löschen"
"del sig quote","Durch das Löschen der elektronischen Unterschrift wird dieses Angebot "unsigniert"!\nLöschen Sie die Unterschrift nur, wenn Korrekturen vorgenommen werden müssen und der Kunde zum Rücktritt bereit ist."
"live chat","Live-Chat mit <APPABBR>-Unterstützung"
"pic still saving cant del","Dieses Foto wird noch auf Ihrem Server gespeichert. Sie können es löschen, sobald es vollständig gespeichert ist. Bitte versuchen Sie es in ein paar Minuten erneut."
"must view training docs","Sie müssen die Schulungsunterlagen / Videos ansehen, bevor Sie diese Schulung einreichen können."
"link to quote","Link zum Zitat"
"view quote","Angebot ansehen"
"cannot link quote to multiple jobs","Angebot kann nicht mit mehreren Aufträgen verknüpft werden. Das Angebot ist bereits mit einem Auftrag verknüpft: <JOBSID>"
"new quote","Neues Zitat"
