lbl,dflt,au,ca,sg,uk
"no notifs","No notifications right now","","","",""
"previous","Previous","","","",""
"wo dtl","W.O. Detail","","","",""
"ok","OK","","","",""
"cancel","Cancel","","","",""
"mon","Mon","","","",""
"tue","Tue","","","",""
"wed","Wed","","","",""
"thu","Thu","","","",""
"fri","Fri","","","",""
"sat","Sat","","","",""
"sun","Sun","","","",""
"monday","Monday","","","",""
"tuesday","Tuesday","","","",""
"wednesday","Wednesday","","","",""
"thursday","Thursday","","","",""
"friday","Friday","","","",""
"saturday","Saturday","","","",""
"sunday","Sunday","","","",""
"report to shop","Report to shop","","","",""
"techs","Techs","","","",""
"tech","Tech","","","",""
"technician","Technician","","","",""
"technicians","Technicians","","","",""
"start time","Start Time","","","",""
"address","Address","","","",""
"addr","Addr","","","",""
"vehicle","Vehicle","","","",""
"vehicles","Vehicles","","","",""
"veh","Veh","","","",""
"no veh assign","No vehicle assigned","","","",""
"site cont","Site Cont","","","",""
"sales rep","Sales Rep","","","",""
"note","Note","","","",""
"notes","Notes","","","",""
"equip","Equip","","","",""
"equipment","Equipment","","","",""
"task","Task","","","",""
"tasks","Tasks","","","",""
"jsa","JSA","","","",""
"safety plan","Safety Plan","","","",""
"auth to proc","Auth. To Proceed","","","",""
"photos","Photos","","","",""
"field ticket","Field Ticket","","","",""
"pre ticket opts not avail","Additional pre-FT items are not available until you have arrived on-site","","","",""
"pre ticket opts","Pre-FT Items","","","",""
"clock in","Clock In","","","",""
"clock out","Clock Out","","","",""
"cat","Cat","","","",""
"clock in success","Clock In Successful","","","",""
"clock out success","Clock Out Successful","","","",""
"clocked in","Clocked In","","","",""
"clocked out","Clocked Out","","","",""
"cur week","Current Week","","","",""
"last week","Last Week","","","",""
"type","Type","","","",""
"sub type","Sub Type","","","",""
"date","Date","","","",""
"onsite","Onsite","","","",""
"travel","Travel","","","",""
"total","Total","","","",""
"branch","<LBLBRANCH>","","","",""
"month","Month","","","",""
"months","Months","","","",""
"show","Show","","","",""
"view","View","","","",""
"open","Open","","","",""
"find comp train","Find Training / Certification","","","",""
"search","Search","","","",""
"pending","Pending","","","",""
"no pend train","No pending trainings found.","","","",""
"no completed train","No completed trainings found.","","","",""
"year","Year","","","",""
"years","Years","","","",""
"comp train","Training / Certification","","","",""
"train info","Training / Certification Info","","","",""
"due","Due","","","",""
"desc","Desc","","","",""
"description","Description","","","",""
"materials","Materials","","","",""
"doc","Doc","","","",""
"docs","Docs","","","",""
"download","Download","","","",""
"url","URL","","","",""
"downloading","Downloading","","","",""
"quiz","Quiz","","","",""
"tech sign submit","Tech Sign & Submit","","","",""
"clear","Clear","","","",""
"done","Done","","","",""
"signature","Signature","","","",""
"printed name","Printed Name","","","",""
"passed","Passed","","","",""
"settings","Settings","","","",""
"device settings","Device Settings","","","",""
"general","General","","","",""
"weather icons","Weather icons","","","",""
"set","Set","","","",""
"disp temp in","Display temperature in","","","",""
"fahrenheit","Fahrenheit","","","",""
"celsius","Celsius","","","",""
"push notifs","Push notifications","","","",""
"language","Language","","","",""
"refresh app","Refresh App","","","",""
"refresh app instruct","If you're experiencing problems with the app, a refresh may help","","","",""
"offline templates","Offline templates","","","",""
"refresh soft","Soft (stayed signed in)","","","",""
"refresh full","Full","","","",""
"advanced settings","Advanced settings","","","",""
"base server url","Base server URL","","","",""
"test","Test","","","",""
"do not change unless told by <APPNAME>","Do NOT change unless instructed by <APPNAME>!","","","",""
"reset","Reset","","","",""
"status","Status","","","",""
"up","Up","","","",""
"down","Down","","","",""
"local db","Local Database","","","",""
"pretrip insp","Pretrip Inspection","","","",""
"pretrip insp already done","<COUNT> pretrip inspection(s) have already been done for this vehicle today (<DATE>). Would you like to enter another one?","","","",""
"yes","Yes","","","",""
"no","No","","","",""
"prev inspections","Prev. Inspections","","","",""
"prev insps","Prev. Insps","","","",""
"inspection","Inspection","","","",""
"addl notes","Additional Notes","","","",""
"sig failed try again","Signature failed. Please sign again","","","",""
"must answer all questions","You must answer all questions before you can submit","","","",""
"must answer all req questions","You must answer all required questions before you can submit","","","",""
"must answer specific question","You must answer question <QUEST> before you can submit","","","",""
"failed","Failed","","","",""
"not saved leave screen","Your changes will not be saved. Are you sure you want to leave this screen?","","","",""
"pretrip hist","Pretrip History","","","",""
"no insp found","No Inspections Found","","","",""
"show last","Show last","","","",""
"inspections","Inspections","","","",""
"insp","Insp","","","",""
"server list ordered by dist loc","Server list ordered by distance from your location","","","",""
"gen info","General Info","","","",""
"signed","Signed","","","",""
"company","Company","","","",""
"job name","Job Name","","","",""
"job address","Job Address","","","",""
"job addr","Job Addr","","","",""
"competent person","Competent Person","","","",""
"addl workers","Add'l Workers","","","",""
"addl worker","Add'l Worker","","","",""
"addl","Add'l","","","",""
"must sign before download","You must sign before you can download","","","",""
"no download offline","Downloading is not available offline","","","",""
"odometer","Odometer","","","",""
"must enter odometer","You must enter the vehicles current odometer reading","","","",""
"save","Save","","","",""
"saved","Saved","","","",""
"view photos","View Photos","","","",""
"no pics found","No pictures found","","","",""
"already signed by","Already signed by <NAME>","","","",""
"cust sig or cust not avail","You must get a customer signature or specify that the customer is not available.","","","",""
"or","OR","","","",""
"cust not avail","Cust. not available","","","",""
"submitted","Submitted","","","",""
"customer sign","Customer Sign","","","",""
"predefined notes","Predefined Notes","","","",""
"auth to proc manual entry","You can still manually enter the Auth. to Proceed but no defaults / notes are available.","","","",""
"saving x of x msg","Saving <CUR> of <TOT>","","","",""
"wo docs step 1","Step 1 - Customer Docs","","","",""
"wo docs step 2","Step 2 - Tech Docs","","","",""
"prev signed","Prev. Signed","","","",""
"must enter doc before sign","You must enter the <DOC> before you can sign it.","","","",""
"select doc to sign","Please select a document to sign","","","",""
"must sign before save","<PERSON> must sign before <DOC> can be saved.","","","",""
"one sig multi doc disclaimer","By signing, I acknowledge my signature will be applied to the selected document(s) above.","","","",""
"signed by customer","Signed by customer","","","",""
"pending cust sig","Pending cust sig","","","",""
"pending tech sig","Pending tech sig","","","",""
"all docs completed","All docs completed","","","",""
"theme","Theme","","","",""
"light","Light","","","",""
"dark","Dark","","","",""
"match device theme","Device (<THEME>)","","","",""
"not avail offline","This action is not available offline","","","",""
"time card","Time Card","","","",""
"breaks","Breaks","","","",""
"location","Location","","","",""
"all locations","All Locations","","","",""
"on site min","On Site Min","","","",""
"travel min","Travel Min","","","",""
"no lunch break","I worked through lunch","","","",""
"no lunch break they","They worked through lunch","","","",""
"no lunch break 2","No lunch break","","","",""
"auto lunch min","Auto Lunch Min","","","",""
"add","Add","","","",""
"on wo","(on WO)","","","",""
"on job","(on job)","","","",""
"delete","Delete","","","",""
"delete worker and time","Delete <NAME> from this <TYPE>? \n\nWarning: This will also delete their time.","","","",""
"delete worker","Delete <NAME> from this <TYPE>?","","","",""
"select addl workers on ft","Select all Add'l Workers that worked on this FT","","","",""
"job info","Job Info","","","",""
"job po no","Job P.O. No","","","",""
"wo po no","WO P.O. No","","","",""
"po","P.O.","","","",""
"requisition no","Requisition No","","","",""
"vehicle mileage","Vehicle <MILES>","","","",""
"addl info","Add'l Info","","","",""
"ft internal notes","FT Internal Notes","","","",""
"delete task","Delete task: <NAME>?","","","",""
"select task","Select Task","","","",""
"hours","Hours","","","",""
"min","Min","","","",""
"hrs","Hrs","","","",""
"minutes","Minutes","","","",""
"printed notes","Printed Notes","","","",""
"internal notes","Internal Notes","","","",""
"must enter qty","You must enter a quantity","","","",""
"take photo","Take","","","",""
"all job photos","All on job","","","",""
"unsupported file type","Unsupported file type selected. Please choose a <TYPE> file.","","","",""
"pic cnt","Photo Count:","","","",""
"parts and materials","Parts & Materials","","","",""
"submit","Submit","","","",""
"only the lead can perform this action","only the lead tech can perform this action.","","","",""
"must enter all times before submit","You must enter all times before submitting.","","","",""
"submit ft terms","By clicking submit, you are confirming the information submitted is true and accurate to the best of your knowledge.","","","",""
"must enter start loc","You must enter your starting location.","","","",""
"must enter comp loc","You must enter your completed location.","","","",""
"next","Next","","","",""
"only go back days","You can only go back <DAYS> days from today.","","","",""
"errand","Errand","","","",""
"errand desc","Errand Desc","","","",""
"linked to job","Linked to Job","","","",""
"tech contact","Tech Contact","","","",""
"tech cell","tech lower(<LBLCELL>)","","","",""
"errand address","Errand Address","","","",""
"lunch prev taken on","Lunch taken on <FT>","","","",""
"lunch worked through on","Worked through lunch on <FT>","","","",""
"lunch manually taken","Lunch manually taken right before this <FT>","","","",""
"lunch not qualified","Not enough time for lunch","","","",""
"time","Time","","","",""
"phone dialer","Phone dialer","","","",""
"no phone dialer for call","Device does not appear support a phone dialer. \nCould not call: <NUMBER>","","","",""
"select addl workers on er","Select all Add'l Workers that worked on this Errand","","","",""
"already on ft","already on <TYPE>","","","",""
"select at least 1 addl worker","You must select at least 1 Addl Worker","","","",""
"select at least 1 veh","You must select a vehicle","","","",""
"auto lunch na","Auto lunch NA","","","",""
"remote support","Start Remote Support Session","","","",""
"ios add to hs","iOS does not currently support auto adding to home screen. Please follow these 3 easy steps","","","",""
"add to hs","Add app to home screen?","","","",""
"app info","About","","","",""
"version","Version","","","",""
"changes","Changes","","","",""
"space used","Disk Space Used","","","",""
"used","Used","","","",""
"available","Available","","","",""
"used perc","Used %","","","",""
"help feedback","Help / Feedback","","","",""
"phone","Phone","","","",""
"email","Email","","","",""
"launch maps","Launch maps in","","","",""
"update avail","An update is available. Click here to apply it now","","","",""
"app updated","App updated to the latest version (<VER>)","","","",""
"happy bday","Happy birthday <NAME>!","","","",""
"no parts found for","No parts / materials found for <LOC>","","","",""
"add part","Add Part /\n Mat.","","","",""
"sel part","Select Part / Mat.","","","",""
"sub category","Sub Category","","","",""
"part no","Part No.","","","",""
"part number","Part Number","","","",""
"serial number","Serial Number","","","",""
"check 4 updt","Check for update","","","",""
"check 4 updt msg","Checking for updates runs in the background. If an update is available, you will get a notification to apply the update.","","","",""
"sel serial no","Select Serial Number","","","",""
"must add 1 task to enter parts","You must add at least 1 (one) task to this field ticket before you can add parts / materials.","","","",""
"quantity","Quantity","","","",""
"t&m","T&M","","","",""
"length","Length","","","",""
"feet","Feet","","","",""
"depth","Depth","","","",""
"inch","Inch","","","",""
"inches","Inches","","","",""
"assoc part with task","Associate part with task","","","",""
"must assoc with task","Part / material must be associated with a task","","","",""
"delete part","Delete part: <NAME>?","","","",""
"select parts on ft","Select all Parts & Materials that were used on this FT","","","",""
"serial abbr","SN","","","",""
"view safety plan b4 proceed","You must view the safety plan before you can proceed.","","","",""
"save task to add part","This will save the task and then allow you add a part.","","","",""
"ok dont show again","OK (don't show again)","","","",""
"schedule","Schedule","","","",""
"filters","Filters","","","",""
"filter","Filter","","","",""
"lead","Lead","","","",""
"options","Options","","","",""
"today","Today","","","",""
"tomorrow","Tomorrow","","","",""
"yesterday","Yesterday","","","",""
"wos hiden by filters","Some WOs are hidden by filters","","","",""
"show addl workers","Show Add'l Workers","","","",""
"show address","Show Address","","","",""
"sort by tech","Sort By Tech (Not Time)","","","",""
"use revolving week","Use Revolving Week","","","",""
"orig","Orig","","","",""
"show sched hrs","Show Sched. Hours","","","",""
"scheduled hrs","Scheduled Hrs","","","",""
"assign anyway","Assign anyway","","","",""
"sched hrs","Sched. Hrs","","","",""
"est","Est","","","",""
"find customer","Find Customer","","","",""
"customers","Customers","","","",""
"search cust city contact","Customer, City, or Contact","","","",""
"no results found","No results found","","","",""
"select","Select","","","",""
"active only","Active Only","","","",""
"map only","Map Only","","","",""
"active","Active","","","",""
"main","Main","","","",""
"physical","Physical","","","",""
"mailing","Mailing","","","",""
"addr1","Address 1","","","",""
"addr2","Addr 2","","","",""
"city","City","","","",""
"state","<LBLSTATE>","","","",""
"zip","<LBLZIP>","","","",""
"no addr defined map","Cannot map to an empty address.","","","",""
"no addr","No address entered.","","","",""
"contacts","Contacts","","","",""
"cell","<LBLCELL>","","","",""
"cell abbr","C","","","",""
"office","Office","","","",""
"office abbr","O","","","",""
"not authorized","You are not authorized to perform this action","","","",""
"not authorized only sales rep on","You are not authorized to perform this action. You can only view <ITEM> you are the sales rep for","","","",""
"contact","Contact","","","",""
"first name","First Name","","","",""
"last name","Last Name","","","",""
"ext","Ext","","","",""
"billing contact","Billing Contact","","","",""
"site contact","Site Contact","","","",""
"aging","Aging","","","",""
"delete contact","Delete contact: <NAME>?","","","",""
"cust cannot be inactive surplus","Customer cannot be inactive if they have a surplus balance.","","","",""
"cust cannot be inactive inv bal","Customer cannot be inactive if they have an open invoice.","","","",""
"days","Days","","","",""
"in collections","In Collections","","","",""
"total out","Total Out","","","",""
"total outstanding","Total Outstanding","","","",""
"surplus acct","Surplus Acct","","","",""
"aging detail","Aging Detail","","","",""
"aging summary","Aging Summary","","","",""
"invoice id","Invoice Id","","","",""
"invoice date","Invoice Date","","","",""
"invoice amt","Invoice Amt","","","",""
"inv id","Inv. Id","","","",""
"invoice no","Invoice No","","","",""
"inv no","Inv. No","","","",""
"inv date","Inv. Date","","","",""
"inv amt","Inv. Amt","","","",""
"pmt adj","Pmts / Adj.","","","",""
"invoice bal","Invoice Bal","","","",""
"inv bal","Inv. Bal","","","",""
"days out","Days Out","","","",""
"user agent","User Agent","","","",""
"detected device","Detected Device","","","",""
"email to support","Email \nTo Support","","","",""
"device","Device","","","",""
"device size","Device Size","","","",""
"expires","Expires","","","",""
"expired","Expired","","","",""
"expiring","Expiring","","","",""
"entered by","Entered By","","","",""
"departure checklist","Depature Checklist","","","",""
"item","Item","","","",""
"na","N/A","","","",""
"find job","Find Job","","","",""
"jobs","Jobs","","","",""
"search job name cust job addr","Job Name, Customer, or Job Address","","","",""
"expecting us","Expecting Us","","","",""
"promised","Promised","","","",""
"sched dt","Sched. Dt","","","",""
"category","Category","","","",""
"dispatch note","Dispatch Note","","","",""
"created by","Created By","","","",""
"created dt","Created Date","","","",""
"upload dt","Upload Date","","","",""
"last edit by","Last Edit By","","","",""
"last edit dt","Last Edit Date","","","",""
"reviewed","Reviewed","","","",""
"contract ongoing","Contract / Ongoing","","","",""
"certified","Certified","","","",""
"lat","Lat","","","",""
"long","Long","","","",""
"use my location","Use My Location","","","",""
"override with cur loc","Override the job address with your current location?","","","",""
"override wo with cur loc","Override the WO address with your current location?","","","",""
"select cust","Select Customer","","","",""
"view mod cust","View / Modify Customer Info","","","",""
"view mod cont","View / Modify Contact Info","","","",""
"work orders","Work Orders","","","",""
"work order","Work Order","","","",""
"unit of measure","Unit of Measure","","","",""
"price","Price","","","",""
"task price","Task Price","","","",""
"minus adjustments","Minus Adjustments","","","",""
"total task price","Total Task Price","","","",""
"taxable","Taxable","","","",""
"tax perc","Tax %","","","",""
"payroll","Payroll","","","",""
"tax rate","Tax Rate","","","",""
"job is tax exempt","This Job Is Tax Exempt","","","",""
"exempt reason","Exempt Reason","","","",""
"must uncheck customer not avail to proc","You must uncheck 'Cust. not available' to proceed.","","","",""
"tax","Tax","","","",""
"sub total","Sub Total","","","",""
"cannot charge tax on tax exempt","This <JOB> is marked as tax exempt. \n\n You cannot charge tax on a tax exempt <JOB>","","","",""
"time on task","Time On This Task","","","",""
"pic already de-activated","Photo is already inactive","","","",""
"start dt","Start Dt","","","",""
"first ft as start dt","Use First FT as Start Dt","","","",""
"set start dt as","Set Starting Date As:","","","",""
"rop for all tasks","ROP For All Tasks:","","","",""
"lead tech","Lead Tech","","","",""
"labor","Labor","","","",""
"benefit","Benefit","","","",""
"group","Group","","","",""
"include techs addl rate","Inclue Tech's Add'l Rate","","","",""
"comb benefit labor for cert","Combine Benefit with Labor when Reporting Certified (if applicable) (lead & addl's)","","","",""
"invoice","Invoice","","","",""
"terms","Terms","","","",""
"job pos","Job PO's","","","",""
"job po","Job PO","","","",""
"vendor","Vendor","","","",""
"new vendor","New Vendor","","","",""
"est cost","Est. Cost","","","",""
"actual cost","Actual Cost","","","",""
"addl po info","Add'l PO Info","","","",""
"ordered by","Ordered By","","","",""
"closed date","Closed Date","","","",""
"reopen po","Reopen PO","","","",""
"close po","Close PO","","","",""
"delete job po","Delete Job PO: <PO>?","","","",""
"sched","Sched","","","",""
"color","Color","","","",""
"req training","Required Training / Certification","","","",""
"req trainings","Required Trainings / Certifications","","","",""
"user","User","","","",""
"new user","New User","","","",""
"audit log","Audit Log","","","",""
"who","Who","","","",""
"close","Close","","","",""
"every job req cust","Every job requires a customer. You must select a customer to continue adding this job.","","","",""
"project manager","Project Manager","","","",""
"main contact","Main Contact","","","",""
"customer contact(s)","Customer Contact(s)","","","",""
"job contact","Job Contact","","","",""
"add new cust contact","Add New Cust Contact","","","",""
"add new job contact","Add New Job Contact","","","",""
"linked jobs","Linked Jobs","","","",""
"task not taxable","Task is not taxable","","","",""
"link to existing job","Link to existing job","","","",""
"create and link new job","Create and link to new job","","","",""
"unlink job","Unlink job: <JOB>?","","","",""
"unlink","Unlink","","","",""
"this job","This Job","","","",""
"cannot link job to itself","You cannot link a job to itself.","","","",""
"job is already linked","Job: <JOB> is already linked.","","","",""
"job linked to another series","The job you have selected is linked to another series. \n\nAre you sure you want to link it to this job instead?","","","",""
"site cont des","Orange = Site Contact","","","",""
"job task","Job Task","","","",""
"ftick task","FT Task","","","",""
"quote task","Quote Task","","","",""
"specify rop per task","Specify ROP Per Task (desktop only)","","","",""
"wo","WO","","","",""
"same as job","Same as Job","","","",""
"good morning","Good Morning","","","",""
"good afternoon","Good Afternoon","","","",""
"good evening","Good Evening","","","",""
"sent to tech","Sent To Tech","","","",""
"conf with tech","Confirmed With Tech","","","",""
"vehicle cat","Vehicle Cat.","","","",""
"lead for work order is the driver for vehicle","The lead for the work order is the driver for this vehicle","","","",""
"must have driver for vehicle","You must have a driver for this vehicle","","","",""
"warning user has not passed req training","Warning: <USER> has not passed the required training for this job.","","","",""
"warning user has not passed req training task wo","Warning: <USER> has not passed the required training(s) for the assigned tasks on this WO.","","","",""
"crew lead add crew to work order","<USER> is a crew lead. \nWould you like to add this crew to this work order?","","","",""
"add crew","Add Crew","","","",""
"shop report time","Report To Shop","","","",""
"end time","End Time","","","",""
"end dt","End Dt","","","",""
"assign tasks","Assign Tasks","","","",""
"assign","Assign","","","",""
"assign time","Assign Time","","","",""
"qty","Qty","","","",""
"show qa","Show Q/A","","","",""
"name","Name","","","",""
"driver","Driver","","","",""
"wo status log","Status Log","","","",""
"conf with cust","Confirmed with Cust","","","",""
"tech returned ft","Tech Returned FT","","","",""
"wo address","WO Addr","","","",""
"leave blank to use job addr","Leave blank to use Job address","","","",""
"wo notes","WO Notes","","","",""
"copy po from","Copy PO From","","","",""
"last edit","Last","","","",""
"must specify date for wo","You must enter a date for this work order","","","",""
"no task assigned to leave click cancel","No tasks have been assigned. To leave this form without assigning tasks, click 'Cancel'.","","","",""
"must select a tech to save","You must select a tech before saving.","","","",""
"start time cannot be blank","Start time cannot be blank.","","","",""
"tasks selected but no time","Tasks have been selected, but no time is assigned for the selected tasks.","","","",""
"completed same after departed night work exception","Completed time should be the same or after Departed time. Night work could be an exception. Would you like to correct this?","","","",""
"completed same after arrived night work exception","Completed time should be the same or after Arrived time. Night work could be an exception. Would you like to correct this?","","","",""
"completed same after started night work exception","Completed time should be the same or after Started time. Night work could be an exception. Would you like to correct this?","","","",""
"correct","Correct","","","",""
"leave as is","Leave As Is","","","",""
"departed same after arrived night work exception","Departed time should be the same or after Arrived time. Night work could be an exception. Would you like to correct this?","","","",""
"departed same after started night work exception","Departed time should be the same or after Started time. Night work could be an exception. Would you like to correct this?","","","",""
"arrived same after started night work exception","Arrived time should be the same or after Started time. Night work could be an exception. Would you like to correct this?","","","",""
"wo promised not same as started","This WO was promised at <PROMISED>. Are you sure you want the start time to be <STARTTIME>?","","","",""
"wo cannot be over 24 hrs create 2nd wo","Work Orders cannot exceed 24 hr. If over 24 hours of work need to be scheduled, please create a second work order.","","","",""
"work order invoiced be careful","Note: This work order has been invoiced. Please tread carefully.","","","",""
"work order invoiced read only","Note: This work order has been invoiced and is therefor read only.","","","",""
"work order field ticket be careful","Note: This work order has a corresponding field ticket. Please tread carefully.","","","",""
"work order field ticket some read only","Note: This work order has a corresponding field ticket. Some fields are therefore read only.","","","",""
"est dur","Est. Dur","","","",""
"opening tech view","Opening in Tech View...","","","",""
"wo does not have ft create it","This WO does not yet have a FT. Create it now?","","","",""
"create ft","Create FT","","","",""
"no wo for job create now","There are no work orders for this job \n(the job is created but no one is assigned / scheduled to do the work). \n\nWould you like to create a work order now?","","","",""
"create wo","Create WO","","","",""
"continue saving","Continue Saving","","","",""
"dont show again","Don't show this again","","","",""
"save changes","Save Changes?","","","",""
"want to save changes","Would you like to save your changes?","","","",""
"must set a tent start date","You must set a Tenatative Sched. Date","","","",""
"retention","Retention","","","",""
"po req but no po","This customer requires a PO but no PO has been entered. \nWould you like to enter a PO now?","","","",""
"req no req but no req no","This customer requires a Requistion No. but a Requisition No. has not been entered. \nWould you like to enter a Requisition No. now?","","","",""
"new job","New Job","","","",""
"new wo","New WO","","","",""
"office view","Office View","","","",""
"tech view","Tech View","","","",""
"new wo for job","New WO for this Job","","","",""
"ft","FT","","","",""
"sel tech not in list","Select a tech not in the list","","","",""
"sel veh not in list","Select a vehicle not in the list","","","",""
"quick list items","Quick List Items","","","",""
"list preface","List Preface","","","",""
"you must select at least 1 item","You must select at least 1 item","","","",""
"call office","Call Office","","","",""
"actuals","Actuals","","","",""
"quotes","Quotes","","","",""
"quote","Quote","","","",""
"find quote","Find Quote","","","",""
"prepared for","Prepared For","","","",""
"quote dt","Quote Dt","","","",""
"tent start","Tent. Start","","","",""
"lead source","Lead Source","","","",""
"print","Print","","","",""
"full pricing","Full Pricing","","","",""
"full but no each","Full, but no 'Each'","","","",""
"total only","Total Only","","","",""
"line items only","Line Items Only","","","",""
"report","Report","","","",""
"unknown","Unknown","","","",""
"linked quotes","Linked Quotes","","","",""
"converted to job","Converted To Job","","","",""
"open job","Open Job","","","",""
"unlink from job","Unlink from job","","","",""
"view mod cust","View / Modify Contact Info","","","",""
"distance","Distance","","","",""
"for","for","","","",""
"must set a quote date","You must set a quote date.","","","",""
"quote converted read only","This quote has been converted to a job and is now read only.","","","",""
"quote converted nsi read only","This quote has been converted to an NSI (<INVOICEID>) and is now read only.","","","",""
"quote signed read only","This quote has been signed and is now read only.","","","",""
"confirm unlink quote job","Are you sure you wish to unlink this quote from job: <JOBSID>?","","","",""
"cannot link job to multiple quotes","Cannot link job to multiple quotes. Job already linke to quote: <QUOTEID>","","","",""
"quote price","Quote Price","","","",""
"delete sig","Delete Signature","","","",""
"del sig quote","Deleting the e-signature will 'unsign' this quote! \nOnly delete the signature if corrections need to be made and the customer is available to resign it.","","","",""
"live chat","Live Chat With <APPABBR>Support","","","",""
"pic still saving cant del","This photo is still saving to your server. You can delete once it has been fully saved. Please try again in a few minutes.","","","",""
"must view training docs","You must view the training docs / videos before you can submit this training.","","","",""
"link to quote","Link To Quote","","","",""
"view quote","View Quote","","","",""
"cannot link quote to multiple jobs","Cannot link quote to multiple jobs. Quote already linke to job: <JOBSID>","","","",""
"new quote","New Quote","","","",""
"not on job","(Not on Job)","","","",""
"assign qty","Assign Qty","","","",""
"start tacking time","Start Tracking Time","","","",""
"stop tacking time","Stop Tracking Time","","","",""
"must take pics","You must upload at least <CNT> photo(s)","","","",""
"allocate task time","Allocate Task Time","","","",""
"task %","Task %","","","",""
"must allocate 100%","You must allocate all time (100%)","","","",""
"cannot allocate more than 100%","You cannot allocate more than 100%.","","","",""
"must allocate task time","You must allocate your task time.","","","",""
"add task","Add Task","","","",""
"add missing task","Add Missing Task","","","",""
"help docs","Help Docs","","","",""
"convert to job","Convert to Job","","","",""
"confirm convert quote","Are you sure you want to convert this quote to a job?","","","",""
"confirm convert quote nsi","Are you sure you want to convert this quote to an NSI?","","","",""
"convert","Convert","","","",""
"quote converted open job","Quote has been converted to job id: <JOB>","","","",""
"open quote","Open Quote","","","",""
"other addresses","Other Addresses","","","",""
"send to cust","Send to Cust.","","","",""
"no link found to send to cust","No link found to send to customer.","","","",""
"cust never signed and link has timed out","Customer hasn't signed yet and the link has now timed out.","","","",""
"send link","Send Link","","","",""
"send","Send","","","",""
"qr code","QR Code","","","",""
"cell #","<LBLCELL> #","","","",""
"must select an option","You must select an option","","","",""
"must enter a valid phone number or name","You must enter a valid phone number or name","","","",""
"must enter a valid phone number","You must enter a valid phone number","","","",""
"customer has signed","Customer has signed","","","",""
"get customer sig","Get Customer Signature","","","",""
"on my device","On my device","","","",""
"text link to","Text link to","","","",""
"no site cont found","No site contact found","","","",""
"qr loading","Generating QR Code","","","",""
"sig link sent","Signature link sent","","","",""
"texting sig link not avail offline","Texting signature link is not available while you are offline.","","","",""
"cust sig link expires in","Link expires in","","","",""
"on this device","On This Device","","","",""
"on cust device","On Customer's Device","","","",""
"failed to get cust sig","Failed to get Customer Signature","","","",""
"reason","Reason","","","",""
"must select reason no cust sig","You must select the reason that you did not get a customer signature.","","","",""
"no one","No one","","","",""
"need cust sig ft depart","A customer signature is required before you can submit this field ticket. Normally you should get the signature before you leave the job site. Would you like to get the signature now?","","","",""
"get sig","Get Sig.","","","",""
"need cust sig ft submit","You must get a customer signature or specify why you failed to get a customer signature before you can submit this field ticket.","","","",""
"filter terms","Filter Terms","","","",""
"delete term","Delete term: <NAME>?","","","",""
"term","Term","","","",""
