lbl,dflt,la
"ok","OK",""
"cancel","Cancelar",""
"mon","Lun.",""
"tue","Mar.",""
"wed","Miérc.",""
"thu","Juev.",""
"fri","Vier.",""
"sat","Sáb.",""
"sun","Dom.",""
"monday","Lunes",""
"tuesday","Martes",""
"wednesday","Miércoles",""
"thursday","Jueves",""
"friday","Viernes",""
"saturday","Sábado",""
"sunday","Domingo",""
"report to shop","Reportar a la tienda","Informar a la tienda"
"techs","Técnicos",""
"tech","Tecnología",""
"technician","Técnico",""
"technicians","Técnicos",""
"start time","Hora de inicio",""
"address","Dirección",""
"addr","Dirección",""
"vehicle","Vehículo",""
"vehicles","Vehículos",""
"veh","Vehíc.",""
"no veh assign","Ningún vehículo asignado",""
"site cont","Contenido del sitio",""
"sales rep","Representante de ventas",""
"note","Nota",""
"notes","Notas",""
"equip","Equipar","Equip"
"equipment","Equipo",""
"task","Tarea",""
"tasks","Tareas",""
"jsa","JSA",""
"safety plan","Plan de seguridad",""
"auth to proc","Aut. para proceder",""
"photos","Fotos",""
"field ticket","Forma","Formulario"
"pre ticket opts not avail","Los artículos adicionales pre forma no están disponibles hasta que haya llegado al lugar","Los artículos preformulario adicionales no están disponibles hasta que haya llegado al sitio"
"pre ticket opts","Artículos pre forma","Artículos preformulario"
"clock in","Checar entrada","Hora de entrada"
"clock out","Checar salida","Hora de salida"
"cat","Categ.",""
"clock in success","Entrada exitosa","Hora de entrada exitosa"
"clock out success","Salida exitosa","Hora de salida exitosa"
"clocked in","Entrada checada","Hora de entrada"
"clocked out","Salida checada","Hora de salida"
"cur week","Semana actual",""
"last week","Semana pasada",""
"type","Tipo",""
"sub type","Subtipo",""
"date","Fecha",""
"onsite","En el sitio",""
"travel","Viajar",""
"total","Total",""
"branch","<LBLBRANCH>",""
"month","Mes",""
"months","Meses",""
"show","Mostrar",""
"view","Ver",""
"open","Abrir",""
"find comp train","Buscar capacitación / certificación",""
"search","Buscar",""
"pending","Pendiente",""
"no pend train","No se han encontrado capacitaciones pendientes.",""
"no completed train","No se han encontrado capacitaciones completadas.",""
"year","Año",""
"years","Años",""
"comp train","Capacitación / Certificación",""
"train info","Capacitación / Certificación",""
"due","Adeudado",""
"desc","Descrip.",""
"description","Descripción",""
"materials","Materiales",""
"doc","Doc.",""
"docs","Docs.",""
"download","Descargar",""
"url","URL",""
"downloading","Descargando",""
"quiz","Cuestionario","Prueba"
"tech sign submit","Firma del técnico y envío",""
"clear","Limpiar",""
"done","Hecho",""
"signature","Firma",""
"printed name","Nombre impreso","Aclaración"
"passed","Aprobado",""
"settings","Ajustes",""
"device settings","Ajustes del dispositivo",""
"general","General",""
"weather icons","Íconos de clima",""
"set","Colocar",""
"disp temp in","Muestra la temperatura en","Mostrar temperatura en"
"fahrenheit","Fahrenheit",""
"celsius","Celsius",""
"push notifs","Notificaciones automáticas",""
"language","Idioma",""
"refresh app","Actualizar la aplicación",""
"refresh app instruct","Si tiene problemas con la aplicación, una actualización puede ayudarle","Si tienes problemas con la aplicación, una actualización te puede ayudar"
"offline templates","Plantillas sin conexión",""
"refresh soft","Soft. (quedó conectado)",""
"refresh full","Completo",""
"advanced settings","Ajustes avanzados",""
"base server url","URL del servidor base",""
"test","Prueba",""
"do not change unless told by <APPNAME>","¡NO lo cambie a menos que <APPNAME> se lo indique!",""
"reset","Reiniciar",""
"status","Estado",""
"up","Arriba",""
"down","Abajo",""
"local db","Base de datos local",""
"pretrip insp","Inspección previa al viaje",""
"pretrip insp already done","<COUNT> inspección(es) previa(s) al viaje ya se ha(n) realizado hoy para este vehículo (<DATE>). ¿Desea introducir otra?","<COUNT>  hoy ya se ha(n) realizado inspección(es) previa(s) al viaje para este vehículo (<DATE>). ¿Desea ingresar otra?"
"yes","Sí",""
"no","No",""
"prev inspections","Inspecciones previas",""
"prev insps","Insp. previas",""
"inspection","Inspección",""
"addl notes","Notas adicionales",""
"sig failed try again","Firma fallida. Por favor, firme de nuevo.","Firma fallida. Firmar de nuevo."
"must answer all questions","Debe responder a todas las preguntas antes de poder enviar",""
"must answer all req questions","Debe responder a todas las preguntas requeridas antes de poder enviar",""
"must answer specific question","Debe responder a la pregunta <QUEST> antes de poder enviar",""
"failed","Fallido",""
"not saved leave screen","Sus cambios no se guardarán. ¿Está seguro de que desea abandonar esta pantalla?","Sus cambios no se guardarán. ¿Está seguro de que deseas abandonar esta pantalla?"
"pretrip hist","Historia previa al viaje",""
"no insp found","No se han encontrado inspecciones",""
"show last","Mostrar último",""
"inspections","Inspecciones",""
"insp","Insp.",""
"server list ordered by dist loc","Lista de servidores ordenada por distancia desde su ubicación",""
"gen info","Información general",""
"signed","Firmado",""
"company","Empresa",""
"job name","Nombre de trabajo",""
"job address","Dirección de trabajo",""
"job addr","Direc. de trabajo",""
"competent person","Persona competente",""
"addl workers","Trabajadores adicionales",""
"addl worker","Trabajador adicional",""
"addl","Adicional",""
"must sign before download","Debe firmar antes de poder descargar",""
"no download offline","La descarga no está disponible sin conexión",""
"odometer","Odómetro","Cuentakilómetros"
"must enter odometer","Debe introducir la lectura actual del odómetro del vehículo","Debe introducir la lectura actual del cuentakilómetros del vehículo"
"save","Guardar",""
"saved","Guardado",""
"view photos","Ver fotos",""
"no pics found","No se han encontrado imágenes",""
"already signed by","Ya firmado por: <NAME>",""
"cust sig or cust not avail","Debe obtener la firma del cliente o especificar que el cliente no está disponible.",""
"or","O",""
"cust not avail","Cliente no disponible",""
"submitted","Enviado",""
"customer sign","Firma del cliente",""
"predefined notes","Notas predefinidas",""
"auth to proc manual entry","Todavía puede introducir manualmente la aut. para proceder, pero no hay valores por defecto / notas disponibles.",""
"saving x of x msg","Guardar <CUR> de <TOT>",""
"wo docs step 1","Paso 1 - Documentos del cliente",""
"wo docs step 2","Paso 2 - Documentos técnicos",""
"prev signed","Prev. firmado",""
"must enter doc before sign","Debe introducir el <DOC> antes de poder firmarlo.",""
"select doc to sign","Seleccione un documento para firmar",""
"must sign before save","<PERSON> debe firmar antes de que <DOC> pueda ser guardado.",""
"one sig multi doc disclaimer","Al firmar, reconozco que mi firma se aplicará a los documentos seleccionados anteriormente.",""
"signed by customer","Firmado por el cliente",""
"pending cust sig","Firma del cliente pendiente",""
"pending tech sig","Firma del técnico pendiente",""
"all docs completed","Todos los documentos completados",""
"theme","Tema",""
"light","Claro",""
"dark","Oscuro",""
"match device theme","Dispositivo (<THEME>)",""
"not avail offline","Esta acción no está disponible sin conexión",""
"time card","Tarjeta de tiempo","Registro de Horario"
"breaks","Pausas","Descansos"
"location","Ubicación",""
"all locations","Todas las ubicaciones",""
"on site min","Minutos en el sitio",""
"travel min","Minutos de viaje",""
"no lunch break","Trabajé durante el almuerzo",""
"no lunch break they","Trabajaron durante el almuerzo",""
"no lunch break 2","Sin pausa para comer","Sin descanso para almorzar"
"auto lunch min","Minutos de Auto Almuerzo","Minutos de Auto Lunch"
"add","Añadir","Agregar"
"on wo","(en orden de trabajo)",""
"on job","(en el trabajo)",""
"delete","Borrar","Eliminar"
"delete worker and time","¿Borrar <NAME> de este <TYPE>?\n\nPrecaución: Esto también borrará su tiempo.","¿Eliminar <NAME> de este <TYPE>?\n\nAdvertencia: Esto también eliminará su tiempo."
"delete worker","¿Borrar <NAME> de este <TYPE>?","¿Eliminar <NAME> de este <TYPE>?"
"select addl workers on ft","Seleccione todos los trabajadores adicionales que trabajaron en esta forma","Seleccione todos los trabajadores adicionales que trabajaron en este formulario"
"job info","Información laboral",""
"job po no","Núm. OC del trabajo",""
"wo po no","Núm. OC de la OT",""
"po","OC",""
"requisition no","Núm. de solicitud",""
"vehicle mileage","Vehículo <MILES>",""
"addl info","Información adicional",""
"ft internal notes","Notas internas de la forma","Notas internas del formulario"
"delete task","¿Borrar tarea: <NAME>?",""
"select task","Seleccionar tarea",""
"hours","Horas",""
"min","Min.",""
"hrs","Hrs.",""
"minutes","Minutos",""
"printed notes","Notas impresas",""
"internal notes","Notas internas",""
"must enter qty","Debe introducir una cantidad","Debes ingresar una cantidad"
"take photo","Tomar",""
"all job photos","Todos en el trabajo",""
"unsupported file type","Se ha seleccionado un tipo de archivo no compatible. Por favor, elija un archivo <TYPE>.","Se ha seleccionado un tipo de archivo no compatible. Elegir un archivo <TYPE>."
"pic cnt","Recuento de fotos:",""
"parts and materials","Piezas y materiales",""
"submit","Enviar",""
"only the lead can perform this action","sólo el técnico encargado puede realizar esta acción.","solo el técnico encargado puede realizar esta acción."
"must enter all times before submit","Debe introducir todos los tiempos antes de enviar.",""
"submit ft terms","Al hacer clic en enviar, usted confirma que la información enviada es verdadera y precisa según su conocimiento.","Al hacer clic en enviar, confirma que la información enviada es verdadera y precisa según tu conocimiento."
"must enter start loc","Debe introducir su ubicación inicial.","Debe introducir tu ubicación inicial."
"must enter comp loc","Debe introducir su ubicación completa.","Debe introducir tu ubicación completa."
"next","Siguiente",""
"only go back days","Sólo puede retroceder <DAYS> días desde hoy.","Solo puede retroceder <DAYS> días a partir de hoy."
"errand","Encargo",""
"errand desc","Descrip. del encargo",""
"linked to job","Vinculado al empleo",""
"tech contact","Contacto técnico",""
"tech cell","<LBLCELL> tec",""
"errand address","Dirección del encargo",""
"lunch prev taken on","Almuerzo tomado en <FT>","Almuerzo en <FT>"
"lunch worked through on","Trabajó durante el almuerzo en <FT>",""
"lunch manually taken","Almuerzo tomado manualmente justo antes de este <FT>",""
"lunch not qualified","No hay tiempo suficiente para comer","No hay tiempo suficiente para almorzar"
"time","Tiempo",""
"phone dialer","Marcador telefónico","Marcador de teléfono"
"no phone dialer for call","El aparato no parece soportar un marcador telefónico.\n\nNo se pudo llamar a: <NUMBER>","El dispositivo no parece admitir un marcador de teléfono\n\nNo se pudo llamar: <NÚMERO>"
"select addl workers on er","Seleccione todos los trabajadores adicionales que trabajaron en este encargo",""
"already on ft","ya está en <TYPE>",""
"select at least 1 addl worker","Debe seleccionar al menos 1 trabajador adicional",""
"select at least 1 veh","Debe seleccionar al menos 1 vehículo",""
"auto lunch na","Auto almuerzo no disponible",""
"remote support","Iniciar sesión de asistencia remota",""
"ios add to hs","Actualmente iOS no admite la adición automática a la pantalla de inicio. Por favor, siga estos 3 sencillos pasos","Actualmente iOS no admite la adición automática a la pantalla de inicio. Seguir estos 3 simples pasos"
"add to hs","¿Añadir una aplicación a la pantalla de inicio?","¿Agregarr una aplicación a la pantalla de inicio?"
"app info","Acerca de",""
"version","Versión",""
"changes","Cambios",""
"space used","Espacio de disco utilizado",""
"used","Usado",""
"available","Disponible",""
"used perc","% Utilizado",""
"help feedback","Ayuda / Comentarios",""
"phone","Teléfono",""
"email","Correo electrónico",""
"launch maps","Iniciar mapas en",""
"update avail","Hay una actualización disponible. Haga clic aquí para aplicarla ahora","Hay disponible una actualización. Haga clic aquí para aplicarla ahora"
"app updated","App actualizada a la última versión (<VER>)","Aplicación actualizada a la última versión (<VER>)"
"happy bday","¡Feliz cumpleaños, <NAME>!",""
"no parts found for","No se han encontrado piezas / materiales para <LOC>",""
"add part","Añadir pieza /\n Mat.",""
"sel part","Seleccione pieza / Mat.",""
"sub category","Subcategoría",""
"part no","Núm. de pieza",""
"part number","Número de pieza",""
"serial number","Número de serie",""
"check 4 updt","Buscar actualización",""
"check 4 updt msg","La búsqueda de actualizaciones se ejecuta en segundo plano. Si hay una actualización disponible, recibirá una notificación para aplicarla.",""
"sel serial no","Seleccione el número de serie",""
"must add 1 task to enter parts","Debe añadir al menos 1 (una) tarea a esta forma antes de poder añadir piezas / materiales.","Debe agregar al menos 1 (una) tarea a este formulario antes de poder agregar piezas / materiales."
"quantity","Cantidad",""
"t&m","Prueba y medición",""
"length","Longitud",""
"feet","Pies",""
"depth","Profundidad",""
"inch","Pulgada",""
"inches","Pulgadas",""
"assoc part with task","Asociar la pieza a la tarea",""
"must assoc with task","La pieza / material debe estar asociado a una tarea",""
"delete part","¿Borrar parte: <NAME>?","¿Eliminar pieza: <NAME>?"
"select parts on ft","Seleccione todas las piezas y materiales que se utilizaron en esta forma","Seleccione todas las piezas y materiales que se utilizaron en este formulario"
"serial abbr","NS",""
"view safety plan b4 proceed","Debe ver el plan de seguridad antes de continuar.",""
"save task to add part","Esto guardará la tarea y luego le permitirá añadir una parte.","Esto guardará la tarea y luego le permitirá agregar una parte."
"ok dont show again","OK (no volver a mostrar)",""
"schedule","Programar",""
"filters","Filtros",""
"filter","Filtro",""
"lead","Encargado",""
"options","Opciones",""
"today","Hoy",""
"tomorrow","Mañana",""
"yesterday","Ayer",""
"wos hiden by filters","Algunas OT están ocultas por filtros",""
"show addl workers","Mostrar trabajadores adicionales",""
"show address","Mostrar dirección",""
"sort by tech","Ordenar por técnico (no por tiempo)",""
"use revolving week","Utilizar la semana rotativa",""
"orig","Origen",""
"show sched hrs","Mostrar horarios. Horas","Mostrar horas programadas"
"scheduled hrs","Horas programadas",""
"assign anyway","Asignar de todos modos",""
"sched hrs","Horario. Hrs.","Horaas programadas"
"est","Est.",""
"find customer","Buscar cliente",""
"customers","Clientes",""
"search cust city contact","Cliente, ciudad o contacto",""
"no results found","No se han encontrado resultados",""
"select","Seleccionar",""
"active only","Sólo activo","Solo activo"
"map only","Sólo mapa","Solo mapa"
"active","Activo",""
"main","Principal",""
"physical","Físico",""
"mailing","Correo",""
"addr1","Dirección 1",""
"addr2","Dirección 2",""
"city","Ciudad",""
"state","<LBLSTATE>",""
"zip","<LBLZIP>",""
"no addr defined map","No se puede asignar a una dirección vacía.",""
"no addr","No se ha introducido ninguna dirección.",""
"contacts","Contactos",""
"cell","<LBLCELL>",""
"cell abbr","C",""
"office","Oficina",""
"office abbr","O",""
"not authorized","No está autorizado a realizar esta acción",""
"not authorized only sales rep on","Usted no está autorizado a realizar esta acción. Sólo puede ver <ITEM> del que es representante de ventas",""
"contact","Contactar",""
"first name","Nombre",""
"last name","Apellido",""
"ext","Ext.",""
"billing contact","Contacto de facturación",""
"site contact","Contacto del sitio",""
"aging","Envejecimiento","Antigüedad"
"delete contact","¿Borrar contacto: <NAME>?","¿Eliminar contacto: <NAME>?"
"cust cannot be inactive surplus","El cliente no puede estar inactivo si tiene un saldo excedente.",""
"cust cannot be inactive inv bal","El cliente no puede estar inactivo si tiene una factura abierta.",""
"days","Días",""
"in collections","En colecciones",""
"total out","Total fuera",""
"total outstanding","Total pendiente",""
"surplus acct","Cuenta de excedentes",""
"aging detail","Detalle del envejecimiento","Detalle de la antigüedad"
"aging summary","Resumen del envejecimiento","Resumen de la antigüedad"
"invoice id","Id de factura",""
"invoice date","Fecha de la factura",""
"invoice amt","Importe de la factura",""
"inv id","Id de la fact.",""
"invoice no","Núm. de la factura",""
"inv no","Núm. de la fact.",""
"inv date","Fecha de la fact.",""
"inv amt","Importe de la fact..",""
"pmt adj","Pagos / Ajuste",""
"invoice bal","Saldo de la factura",""
"inv bal","Saldo de la fact.",""
"days out","Salidas",""
"user agent","Agente de usuario",""
"detected device","Dispositivo detectado",""
"email to support","Correo electrónico a soporte",""
"device","Dispositivo",""
"device size","Tamaño del dispositivo",""
"expires","Expira en","Vence en"
"expired","Caducado","Vencido"
"expiring","Expirando","Venciendo"
"entered by","Introducido por",""
"departure checklist","Lista de control de salida",""
"item","Artículo",""
"na","N/A",""
"find job","Buscar trabajo",""
"jobs","Trabajos",""
"search job name cust job addr","Nombre del trabajo, cliente o dirección del empleo",""
"expecting us","Esperándonos",""
"promised","Prometido",""
"sched dt","Fecha programada",""
"category","Categoría",""
"dispatch note","Nota de envío",""
"created by","Creado por",""
"created dt","Fecha de creación",""
"upload dt","Fecha de carga",""
"last edit by","Última edición por",""
"last edit dt","Fecha de la última edición",""
"reviewed","Revisado",""
"contract ongoing","Contrato / En curso",""
"certified","Certificado",""
"lat","Lat.",""
"long","Long.",""
"use my location","Utilizar mi ubicación",""
"override with cur loc","¿Sustituir la dirección del trabajo por su ubicación actual?","¿Anular la dirección del trabajo por su ubicación actual?"
"override wo with cur loc","¿Sustituir la dirección de la OT por su ubicación actual?","¿Anular la dirección de la OT por su ubicación actual?"
"select cust","Seleccionar cliente",""
"view mod cust","Ver / Modificar información del cliente",""
"view mod cont","Ver / Modificar información de contacto",""
"work orders","Órdenes de trabajo",""
"work order","Orden de trabajo",""
"unit of measure","Unidad de medida",""
"price","Precio",""
"task price","Precio de la tarea",""
"minus adjustments","Menos Ajustes",""
"total task price","Precio total de la tarea",""
"taxable","Gravable","Tributable"
"tax perc","% Impuesto",""
"payroll","Nómina",""
"tax rate","Tasa de Impuestos",""
"job is tax exempt","Este trabajo está exento de impuestos",""
"exempt reason","Razón de exención",""
"must uncheck customer not avail to proc","Debe desmarcar 'Cliente no disponible' para continuar.",""
"tax","Impuesto",""
"sub total","Subtotal",""
"cannot charge tax on tax exempt","Este <JOB> está marcado como exento de impuestos.",""
"time on task","Tiempo en esta tarea",""
"pic already de-activated","La foto ya está inactiva",""
"start dt","Fecha de inicio",""
"first ft as start dt","Utilizar la primera forma como fecha inicial","Utilizar el primer formulario como fecha inicial"
"set start dt as","Fijar la fecha de inicio como:","Establecer la fecha de inicio como:"
"rop for all tasks","ROP para todas las tareas:",""
"lead tech","Encargado técnico",""
"labor","Trabajo",""
"benefit","Beneficio",""
"group","Grupo",""
"include techs addl rate","Incluya la tarifa del técnico adicional",""
"comb benefit labor for cert","Combine el beneficio con la mano de obra cuando se reporte certificado (si procede) (encargado y adicionales)",""
"invoice","Factura",""
"terms","Términos","Cláusulas"
"job pos","OCs del trabajo",""
"job po","OC del trabajo",""
"vendor","Vendedor",""
"new vendor","Vendedor",""
"est cost","Costo estimado",""
"actual cost","Costo real",""
"addl po info","Información adicional",""
"ordered by","Ordenado por",""
"closed date","Fecha de cierre",""
"reopen po","Reabrir orden de compra",""
"close po","Cerrar OC",""
"delete job po","¿Borrar la OC del trabajo: <PO>?",""
"sched","Horario",""
"color","Color",""
"req training","Formación / Certificación requerida","Capacitación / Certificación requerida"
"req trainings","Formaciones / Certificaciones requeridas","Capacitaciones / Certificaciones requeridas"
"user","Usuario",""
"new user","Nuevo usuario",""
"audit log","Registro de auditoría",""
"who","Quién",""
"close","Cerrar",""
"every job req cust","Cada trabajo requiere un cliente. Debe seleccionar un cliente para seguir agregando este trabajo.",""
"project manager","Jefe de proyecto","Director del proyecto"
"main contact","Contacto principal",""
"customer contact(s)","Contacto(s) del cliente",""
"job contact","Contacto del trabajo",""
"add new cust contact","Añadir nuevo contacto del cliente",""
"add new job contact","Añadir nuevo contacto de trabajo",""
"linked jobs","Trabajos vinculados",""
"task not taxable","La tarea no es gravable","La tarea no es tributable"
"link to existing job","Enlace al trabajo existente",""
"create and link new job","Crear y vincular a un nuevo trabajo",""
"unlink job","¿Desvincular trabajo: <JOB>?",""
"unlink","Desenlazar",""
"this job","Este trabajo",""
"cannot link job to itself","No se puede vincular un trabajo a sí mismo.",""
"job is already linked","Trabajo: <JOB> ya está vinculado.",""
"job linked to another series","El trabajo que ha seleccionado está vinculado a otra serie.\n\n ¿Está seguro de que desea vincularlo a este otro trabajo en su lugar?",""
"site cont des","Anaranjado = Contacto del sitio","Naranja = Contacto del sitio"
"job task","Tarea",""
"ftick task","Tarea FT",""
"quote task","Cotizar Tarea",""
"specify rop per task","Especificar ROP por tarea (sólo escritorio)",""
"wo","WO","OT"
"same as job","Igual que el trabajo",""
"good morning","Buenos días",""
"good afternoon","Buenas tardes",""
"good evening","Buenas noches",""
"sent to tech","Enviado al técn.",""
"conf with tech","Confirmado con el técn.",""
"vehicle cat","Categoría de vehículo",""
"lead for work order is the driver for vehicle","El encargado de la orden de trabajo es el conductor de este vehículo",""
"must have driver for vehicle","Debe tener un conductor para este vehículo",""
"warning user has not passed req training","Advertencia: <USER> no ha superado la formación requerida para este trabajo.","Advertencia: <USER> no ha superado la capacitación requerida para este trabajo."
"warning user has not passed req training task wo","Advertencia: <USER> no ha superado la(s) formación(es) requerida(s) para las tareas asignadas en esta OT.","Advertencia: <USER> no ha superado la(s) capacitación(es) requerida(s) para las tareas asignadas en esta OT."
"crew lead add crew to work order","<USER> es un encargado de equipo.",""
"add crew","Añadir equipo","Agregar equipo"
"shop report time","Informar a la tienda",""
"end time","Hora de finalización",""
"end dt","Fecha de finalización",""
"assign tasks","Asignar tareas",""
"assign","Asignar",""
"assign time","Asignar tiempo",""
"qty","Cantidad",""
"show qa","Mostrar P/R",""
"name","Nombre",""
"driver","Conductor",""
"wo status log","Registro del estado de la OT",""
"conf with cust","Confirmado con el cliente",""
"tech returned ft","Forma devuelta por el técn.","Formulario devuelto por el técn."
"wo address","Dirección de la OT",""
"leave blank to use job addr","Dejar en blanco para la dirección del trabajo",""
"wo notes","Notas de la OT",""
"copy po from","Copiar orden de compra desde",""
"last edit","Última",""
"must specify date for wo","Debe introducir una fecha para esta orden de trabajo",""
"no task assigned to leave click cancel","No se ha asignado ninguna tarea. Para salir de este formulario sin asignar tareas, Haga clic en "Cancelar".",""
"must select a tech to save","Debe seleccionar un técnico antes de guardar.","Hora de finalización"
"start time cannot be blank","La hora de inicio no puede estar en blanco.","Fecha de finalización"
"tasks selected but no time","Se han seleccionado tareas, pero no se ha asignado tiempo a las tareas seleccionadas.","Asignar tareas"
"completed same after departed night work exception","La hora de finalización debe ser la misma o posterior a la hora de salida. El trabajo nocturno podría ser una excepción. ¿Quiere corregir esto?","Asignar"
"completed same after arrived night work exception","La hora de finalización debe ser la misma o posterior a la hora de llegada. El trabajo nocturno podría ser una excepción. ¿Quiere corregirlo?","Asignar tiempo"
"completed same after started night work exception","La hora de finalización debe ser la misma o posterior a la hora de inicio. El trabajo nocturno podría ser una excepción. ¿Quiere corregirlo?","Cantidad"
"correct","Corregir","Mostrar P/R"
"leave as is","Dejar como está","Nombre"
"departed same after arrived night work exception","La hora de salida debe ser la misma o posterior a la de llegada. El trabajo nocturno podría ser una excepción. ¿Quiere corregirlo?","Conductor"
"departed same after started night work exception","La hora de salida debe ser la misma o posterior a la hora de inicio. El trabajo nocturno podría ser una excepción. ¿Quiere corregirlo?","Registro del estado de la OT"
"arrived same after started night work exception","La hora de llegada debe ser la misma o posterior a la hora de inicio. El trabajo nocturno podría ser una excepción. ¿Quiere corregirlo?","Confirmado con el cliente"
"wo promised not same as started","Esta OT fue prometida en <PROMISED>. ¿Está seguro de que quiere que la hora de inicio sea <STARTTIME>?","Forma devuelta por el técn."
"wo cannot be over 24 hrs create 2nd wo","Las órdenes de trabajo no pueden exceder las 24 hrs. Si necesita programar más de 24 horas de trabajo, cree una segunda orden de trabajo.","Dirección de la OT"
"work order invoiced be careful","Nota: Esta orden de trabajo ha sido facturada. Por favor, evite malentendidos.","Dejar en blanco para la dirección del trabajo"
"work order invoiced read only","Nota: Esta orden de trabajo ha sido facturada, por lo que es sólo para lectura.","Notas de la OT"
"work order field ticket be careful","Nota: Esta orden de trabajo tiene su forma correspondiente. Por favor, evite malentendidos.","Copiar orden de compra desde"
"work order field ticket some read only","Nota: Esta orden de trabajo tiene su forma correspondiente. Por lo tanto, algunos campos son sólo para lectura.","Última"
"est dur","Dur. estimada","Debe introducir una fecha para esta orden de trabajo"
"opening tech view","Apertura en vista técn...","No se ha asignado ninguna tarea. Para salir de este formulario sin asignar tareas, Haga clic en "Cancelar"."
"wo does not have ft create it","Esta OT aún no tiene una forma. ¿Crearla ahora?","Esta OT aún no tiene un formulario. ¿Crearla ahora?"
"create ft","Crear forma","Crear formulario"
"no wo for job create now","No hay órdenes de trabajo para este trabajo\n (el trabajo está creado, pero no hay nadie asignado / programado para realizarlo)\n\n¿Desea crear una orden de trabajo ahora?","No hay órdenes de trabajo para este trabajo\n (el trabajo está creado, pero no hay nadie asignado / programado para realizarlo).\n\n¿Desea crear una orden de trabajo ahora?"
"create wo","Crear OT",""
"continue saving","Continuar salvando",""
"dont show again","No volver a mostrar",""
"save changes","¿Guardar cambios?",""
"want to save changes","¿Desea guardar los cambios?",""
"must set a tent start date","Debe fijar fecha y horario tentativos",""
"retention","Retención",""
"po req but no po","Este cliente requiere una OC, pero no se ha introducido ninguna.\n ¿Desea introducir una OC ahora?","Este cliente requiere una OC, pero no se ha introducido ninguna.\n ¿Desea crear una orden de trabajo ahora?"
"req no req but no req no","Este cliente requiere un Núm. de requisición, pero no se ha introducido ninguno.\n ¿Desea introducir un Núm. de Requisición ahora?","Este cliente requiere un Núm. de requisición, pero no se ha introducido ninguno. \n¿Desea introducir un Núm. de Requisición ahora?"
"new job","Nuevo trabajo",""
"new wo","Nueva OT",""
"office view","Vista de la oficina",""
"tech view","Vista técnica",""
"new wo for job","Nueva OT para este trabajo",""
"ft","Forma","Formulario"
"sel tech not in list","Seleccione un técnico que no esté en la lista",""
"sel veh not in list","Seleccione un vehículo que no esté en la lista",""
"quick list items","Elementos de la lista rápida",""
"list preface","Prefacio de la lista",""
"you must select at least 1 item","Debe seleccionar al menos 1 artículo",""
"call office","Llamar a la oficina",""
"actuals","Datos reales",""
"quotes","Presupuesto",""
"quote","Presupuesto",""
"find quote","Buscar presupuesto",""
"prepared for","Preparado para",""
"quote dt","Fecha de cotización",""
"tent start","Inicio tentativo",""
"lead source","Origen del encargado",""
"print","Imprimir",""
"full pricing","Precio completo",""
"full but no each","Completo, pero sin 'cada uno'",""
"total only","Sólo total",""
"line items only","Sólo artículos de línea",""
