lbl,dflt
"start time","Hora de início"
"address","Endereço"
"addr","Addr"
"vehicle","Veículo"
"vehicles","Veículos"
"veh","Veh"
"no veh assign","Nenhum veículo designado"
"site cont","Conteúdo do site"
"sales rep","Representante de vendas"
"note","Nota"
"notes","Notas"
"equip","Equipar"
"equipment","Equipamento"
"task","Tarefa"
"tasks","Tarefas"
"jsa","JSA"
"safety plan","Plano de segurança"
"auth to proc","Auth. Para prosseguir"
"photos","Fotos"
"field ticket","Passagem de Campo"
"pre ticket opts not avail","Itens pré-TF adicionais não estão disponíveis até que você tenha chegado ao local"
"pre ticket opts","Itens Pré-FT"
"clock in","Relógio em"
"clock out","Relógio de saída"
"cat","Gato"
"clock in success","Relógio em Sucesso"
"clock out success","Relógio de saída bem-sucedido"
"clocked in","Clock In"
"clocked out","Fechado"
"cur week","Semana atual"
"last week","Semana passada"
"type","Tipo"
"sub type","Subtipo"
"date","Data"
"onsite","No local"
"travel","Viagens"
"total","Total"
"branch","<LBLBRANCH>"
"month","Mês"
"months","Meses"
"show","Mostrar"
"view","Ver"
"open","Aberto"
"find comp train","Encontrar Treinamento / Certificação"
"search","Busca"
"pending","Pendente"
"no pend train","Não foram encontrados treinamentos pendentes."
"no completed train","Não foram encontrados treinamentos concluídos."
"year","Ano"
"years","Anos"
"comp train","Treinamento / Certificação"
"train info","Informações de Treinamento / Certificação"
"due","Devido"
"desc","Desc"
"description","Descrição"
"materials","Materiais"
"doc","Doc"
"docs","Docs"
"download","Download"
"url","URL"
"downloading","Descarga"
"quiz","Quiz"
"tech sign submit","Assinatura e Envio Técnico"
"clear","Limpar"
"done","Feito"
"signature","Assinatura"
"printed name","Nome em letra de forma"
"passed","Aprovado"
"settings","Configurações"
"device settings","Configurações do dispositivo"
"general","Geral"
"weather icons","Ícones meteorológicos"
"set","Conjunto"
"disp temp in","Temperatura de exibição em"
"fahrenheit","Fahrenheit"
"celsius","Celsius"
"push notifs","Notificações push"
"language","Idioma"
"refresh app","Aplicativo de Atualização"
"refresh app instruct","Se você estiver tendo problemas com o aplicativo, uma atualização pode ajudar"
"offline templates","Modelos off-line"
"refresh soft","Suave (permaneceu conectado)"
"refresh full","Completo"
"advanced settings","Configurações avançadas"
"base server url","URL do servidor base"
"test","Teste"
"do not change unless told by <APPNAME>","NÃO mude a menos que seja instruído pela <APPNAME>!"
"reset","Reinicialização"
"status","Status"
"up","Para cima"
"down","Abaixo"
"local db","Base de dados local"
"pretrip insp","Inspeção antes da viagem"
"pretrip insp already done","<COUNT> inspeção(ões) pré-venda(s) já foram feitas para este veículo hoje (<DATE>). Você gostaria de entrar em outro?"
"yes","Sim"
"no","Não"
"prev inspections","Prev. Inspeções"
"prev insps","Prev. Inspetores"
"inspection","Inspeção"
"addl notes","Notas Adicionais"
"sig failed try again","A assinatura falhou. Por favor, assine novamente"
"must answer all questions","Você deve responder a todas as perguntas antes de poder se apresentar"
"must answer all req questions","Você deve responder a todas as perguntas necessárias antes de poder se apresentar"
"must answer specific question","Você deve responder à pergunta <PEDIDO> antes de poder se apresentar"
"failed","Falha"
"not saved leave screen","Suas mudanças não serão salvas. Você tem certeza de que quer sair desta tela?"
"pretrip hist","História Pretrip"
"no insp found","Nenhuma inspeção encontrada"
"show last","Mostrar por último"
"inspections","Inspeções"
"insp","Insp"
"server list ordered by dist loc","Lista de servidores ordenados por distância a partir de seu local"
"gen info","Informações gerais"
"signed","Assinado"
"company","Empresa"
"job name","Nome do cargo"
"job address","Endereço profissional"
"job addr","Endereço de trabalho"
"competent person","Pessoa Competente"
"addl workers","Adicionar Trabalhadores"
"addl worker","Adicionar Trabalhador"
"addl","Adicionar"
"must sign before download","Você deve assinar antes de poder fazer o download"
"no download offline","O descarregamento não está disponível offline"
"odometer","Odômetro"
"must enter odometer","Você deve inserir a leitura atual do odômetro dos veículos"
"save","Salvar"
"saved","Salvo"
"view photos","Ver Fotos"
"no pics found","Nenhuma foto encontrada"
"already signed by","Já assinado por: <NOME>"
"cust sig or cust not avail","Você deve obter uma assinatura do cliente ou especificar que o cliente não está disponível."
"or","OU"
"cust not avail","Não disponível"
"submitted","Enviado em"
"customer sign","Sinal do cliente"
"predefined notes","Notas pré-definidas"
"auth to proc manual entry","Você ainda pode entrar manualmente no Auth. para Proceder, mas não há inadimplência / notas disponíveis."
"saving x of x msg","Economia <CUR> de <TOT>"
"wo docs step 1","Passo 1 - Documentos do cliente"
"wo docs step 2","Etapa 2 - Tech Docs"
"prev signed","Prev. Assinado"
"must enter doc before sign","Você deve digitar o <DOC> antes de assiná-lo."
"select doc to sign","Favor selecionar um documento para assinar"
"must sign before save","<PERSON> deve assinar antes de <DOC> poder ser salvo."
"one sig multi doc disclaimer","Ao assinar, eu reconheço que minha assinatura será aplicada ao(s) documento(s) selecionado(s) acima."
"signed by customer","Assinado pelo cliente"
"pending cust sig","Pendente do sinal de creme"
"pending tech sig","Sigla técnica pendente"
"all docs completed","Todos os documentos concluídos"
"theme","Tema"
"light","Luz"
"dark","Escuro"
"match device theme","Dispositivo (<THEME>)"
"not avail offline","Esta ação não está disponível offline"
"time card","Ficha de Ponto"
"breaks","Quebra"
"location","Localização"
"all locations","Todos os locais"
"on site min","No local Min"
"travel min","Viagem Min"
"no lunch break","Eu trabalhei durante o almoço"
"no lunch break they","Eles trabalharam durante o almoço"
"no lunch break 2","Sem intervalo para almoço"
"auto lunch min","Mínimo do Almoço Auto"
"add","Adicione"
"on wo","(na WO)"
"on job","(em serviço)"
"delete","Excluir"
"delete worker and time","Delete <NOME> deste <TIPO>?\n\nAdvertência: Isto também eliminará seu tempo."
"delete worker","Delete <NOME> deste <TIPO>?"
"select addl workers on ft","Selecione todos os trabalhadores Add'l que trabalharam neste FT"
"job info","Informações de emprego"
"job po no","Emprego P.O. Não"
"wo po no","WO P.O. Não"
"po","P.O."
"requisition no","Requisição No"
"vehicle mileage","Veículo <MILES>"
"addl info","Informações adicionais"
"ft internal notes","Notas internas FT"
"delete task","Eliminar tarefa: <NOME>?"
"select task","Selecionar Tarefa"
"hours","Horas"
"min","Min"
"hrs","Hrs"
"minutes","Ata"
"printed notes","Notas impressas"
"internal notes","Notas internas"
"must enter qty","Você deve inserir uma quantidade"
"take photo","Pegue"
"all job photos","Todos no trabalho"
"unsupported file type","Tipo de arquivo não suportado selecionado. Por favor, escolha um arquivo <TIPO>."
"pic cnt","Contagem de fotos:"
"parts and materials","Peças e materiais"
"submit","Enviar para"
"only the lead can perform this action","somente a tecnologia líder pode realizar esta ação."
"must enter all times before submit","Você deve entrar o tempo todo antes de enviar."
"submit ft terms","Ao clicar em enviar, você está confirmando que as informações enviadas são verdadeiras e precisas, tanto quanto é do seu conhecimento."
"must enter start loc","Você deve digitar seu local de partida."
"must enter comp loc","Você deve digitar seu local completo."
"next","Próximo"
"only go back days","Você só pode voltar <DAYS> dias a partir de hoje."
"errand","Errand"
"errand desc","Errand Desc"
"linked to job","Vinculado ao trabalho"
"tech contact","Contato Técnico"
"tech cell","<LBLCELL> tec"
"errand address","Endereço de erro"
"lunch prev taken on","Almoço realizado <FT>"
"lunch worked through on","Trabalhou durante o almoço em <FT>"
"lunch manually taken","Almoço tomado manualmente mesmo antes disto <FT>"
"lunch not qualified","Não há tempo suficiente para o almoço"
"time","Hora"
"phone dialer","Discador telefônico"
"no phone dialer for call","O dispositivo não parece suportar um discador telefônico.\nNão foi possível telefonar: <NUMBER>"
"select addl workers on er","Selecione todos os trabalhadores que trabalharam nesta Errand"
"already on ft","já em <TYPE>"
"select at least 1 addl worker","Você deve selecionar pelo menos 1 Addl Worker"
"select at least 1 veh","Você deve selecionar um veículo"
"auto lunch na","Almoço automotivo NA"
"remote support","Iniciar sessão de suporte remoto"
"ios add to hs","O iOS não suporta atualmente a adição automática à tela inicial. Por favor, siga estes 3 passos simples"
"add to hs","Adicionar aplicativo à tela inicial?"
"app info","Sobre"
"version","Versão"
"changes","Mudanças"
"space used","Espaço em disco utilizado"
"used","Usado"
"available","Disponível em"
"used perc","Usado % Utilizado"
"help feedback","Ajuda / Feedback"
"phone","Telefone"
"email","Email"
"launch maps","Mapas de lançamento em"
"update avail","Uma atualização está disponível. Clique aqui para aplicá-la agora"
"app updated","App atualizado para a última versão (<VER>)"
"happy bday","Feliz aniversário <NOME>!"
"no parts found for","Não foram encontradas peças / materiais para <LOC>"
"add part","Adicionar Peça /\n Mat."
"sel part","Selecione Peça / Mat."
"sub category","Subcategoria"
"part no","Parte No."
"part number","Número da peça"
"serial number","Número de série"
"check 4 updt","Verificar por atualização"
"check 4 updt msg","A verificação de atualizações é feita em segundo plano. Se uma atualização estiver disponível, você receberá uma notificação para aplicar a atualização."
"sel serial no","Selecione o número de série"
"must add 1 task to enter parts","Você deve acrescentar pelo menos 1 (uma) tarefa a este bilhete de campo antes de poder acrescentar peças/materiais."
"quantity","Quantidade"
"t&m","T&M"
"length","Comprimento"
"feet","Pés"
"depth","Profundidade"
"inch","Inch"
"inches","Polegadas"
"assoc part with task","Associar parte com a tarefa"
"must assoc with task","Parte / material deve ser associado a uma tarefa"
"delete part","Eliminar parte: <NOME>?"
"select parts on ft","Selecione todas as peças e materiais que foram utilizados neste FT"
"serial abbr","SN"
"view safety plan b4 proceed","Você deve visualizar o plano de segurança antes de poder prosseguir."
"save task to add part","Isto salvará a tarefa e então permitirá que você acrescente uma peça."
"ok dont show again","OK (não volte a aparecer)"
"schedule","Horário"
"filters","Filtros"
"filter","Filtro"
"lead","Chumbo"
"options","Opções"
"today","Hoje"
"tomorrow","Amanhã"
"yesterday","Ontem"
"wos hiden by filters","Algumas OMA são ocultadas por filtros"
"show addl workers","Mostrar Trabalhadores Add'l"
"show address","Mostrar endereço"
"sort by tech","Ordenar por tecnologia (não por tempo)"
"use revolving week","Use a Semana da Revolução"
"orig","Origem"
"show sched hrs","Mostrar Programação. Horas"
"scheduled hrs","Hrs programados"
"assign anyway","Atribuir de qualquer forma"
"sched hrs","Programado. Hrs"
"est","Est"
"find customer","Encontrar cliente"
"customers","Clientes"
"search cust city contact","Cliente, Cidade, ou Contato"
"no results found","Nenhum resultado encontrado"
"select","Selecione"
"active only","Ativo Somente"
"map only","Somente Mapa"
"active","Ativo"
"main","Principal"
"physical","Físico"
"mailing","Correio"
"addr1","Endereço 1"
"addr2","Endereço 2"
"city","Cidade"
"state","<LBLSTATE>"
"zip","<LBLZIP>"
"no addr defined map","Não é possível mapear para um endereço vazio."
"no addr","Nenhum endereço digitado."
"contacts","Contatos"
"cell","<LBLCELL>"
"cell abbr","C"
"office","Escritório"
"office abbr","O"
"not authorized","Você não está autorizado a realizar esta ação"
"not authorized only sales rep on","Você não está autorizado a realizar esta ação. Você só pode visualizar <ITEM> você é o representante de vendas para"
"contact","Contato"
"first name","Primeiro nome"
"last name","Sobrenome"
"ext","Ext"
"billing contact","Contato de faturamento"
"site contact","Contato no site"
"aging","Envelhecimento"
"delete contact","Excluir contato: <NOME>?"
"cust cannot be inactive surplus","O cliente não pode ficar inativo se tiver um saldo excedente."
"cust cannot be inactive inv bal","O cliente não pode estar inativo se tiver uma fatura em aberto."
"days","Dias"
"in collections","Em Coleções"
"total out","Total Out"
"total outstanding","Total Destaque"
"surplus acct","Excedente de Actividade"
"aging detail","Detalhe de Envelhecimento"
"aging summary","Resumo do Envelhecimento"
"invoice id","Identificação da fatura"
"invoice date","Data da fatura"
"invoice amt","Fatura Amt"
"inv id","Inv. Id"
"invoice no","Fatura Não"
"inv no","Inv. Não"
"inv date","Data de Inv."
"inv amt","Inv. Amt"
"pmt adj","Pmts / Adj."
"invoice bal","Facturação em Bal"
"inv bal","Inv. Bal"
"days out","Dias de folga"
"user agent","Agente do usuário"
"detected device","Dispositivo detectado"
"email to support","Email para suporte"
"device","Dispositivo"
"device size","Tamanho do dispositivo"
"expires","Expira"
"expired","Expirado"
"expiring","Expirando"
"entered by","Entrado por"
"departure checklist","Lista de verificação de depuração"
"item","Item"
"na","N/A"
"find job","Encontrar emprego"
"jobs","Empregos"
"search job name cust job addr","Nome, cliente ou endereço profissional"
"expecting us","Esperando-nos"
"promised","Prometido"
"sched dt","Programado. Dt"
"category","Categoria"
"dispatch note","Nota de despacho"
"created by","Criado por"
"created dt","Data de criação"
"upload dt","Data de upload"
"last edit by","Última edição por"
"last edit dt","Data da última edição"
"reviewed","Revisado"
"contract ongoing","Contrato / Em curso"
"certified","Certificado"
"lat","Lat"
"long","Longo"
"use my location","Usar minha localização"
"override with cur loc","Anular o endereço do trabalho com sua localização atual?"
"override wo with cur loc","Anular o endereço da WO com sua localização atual?"
"select cust","Selecione Cliente"
"view mod cust","Ver / Modificar as informações do cliente"
"view mod cont","Ver / Modificar Informações de Contato"
"work orders","Ordens de trabalho"
"work order","Ordem de trabalho"
"unit of measure","Unidade de medida"
"price","Preço"
"task price","Tarefa Preço"
"minus adjustments","Ajustes Menos"
"total task price","Preço total da tarefa"
"taxable","Tributável"
"tax perc","Imposto"
"payroll","Folha de pagamento"
"tax rate","Taxa de imposto"
"job is tax exempt","Este trabalho é isento de impostos"
"exempt reason","Motivo da Isenção"
"must uncheck customer not avail to proc","Você deve desmarcar "Cust. não disponível" para prosseguir."
"tax","Imposto"
"sub total","Sub Total"
"cannot charge tax on tax exempt","Este <JOB> é marcado como isento de impostos.\n\n Você não pode cobrar imposto sobre um imposto isento <JOB>"
"time on task","O tempo nesta tarefa"
"pic already de-activated","A foto já está inativa"
"start dt","Iniciar Dt"
"first ft as start dt","Use First FT como Start Dt"
"set start dt as","Definir a data de início como:"
"rop for all tasks","ROP para All Tasks:"
"lead tech","Tecnologia de chumbo"
"labor","Trabalho"
"benefit","Benefício"
"group","Grupo"
"include techs addl rate","Inclua a taxa Add'l da Inclue Tech"
"comb benefit labor for cert","Combine Benefício com Mão de Obra ao informar Certificado (se aplicável) (chumbo e aditivos)"
"invoice","Fatura"
"terms","Termos"
"job pos","PO's de trabalho"
"job po","Emprego PO"
"vendor","Vendedor"
"new vendor","Vendedor"
"est cost","Est. Custo"
"actual cost","Custo real"
"addl po info","Adicionar informações de PO"
"ordered by","Encomendado por"
"closed date","Data de fechamento"
"reopen po","Reabrir PO"
"close po","Fechar PO"
"delete job po","Excluir Job PO: <PO>?"
"sched","Agendado"
"color","Cor"
"req training","Treinamento / Certificação necessária"
"req trainings","Treinamentos / Certificações necessárias"
"user","Usuário"
"new user","Novo usuário"
"audit log","Diário de Auditoria"
"who","Quem"
"close","Fechar"
"every job req cust","Cada trabalho requer um cliente. Você deve selecionar um cliente para continuar adicionando este trabalho."
"project manager","Gerente de projetos"
"main contact","Contato Principal"
"customer contact(s)","Contato(s) do(s) cliente(s)"
"job contact","Contato profissional"
"add new cust contact","Adicionar Novo Contato Cliente"
"add new job contact","Adicionar novo contato para emprego"
"linked jobs","Empregos vinculados"
"task not taxable","A tarefa não é tributável"
"link to existing job","Link para trabalho existente"
"create and link new job","Criar e vincular a um novo emprego"
"unlink job","Trabalho sem ligação: <JOB>?"
"unlink","Unlink"
"this job","Este trabalho"
"cannot link job to itself","Não se pode vincular um trabalho a si mesmo."
"job is already linked","Trabalho: <JOB> já está vinculado."
"job linked to another series","O trabalho que você selecionou está ligado a outra série.\n\nVocê tem certeza de que quer vinculá-lo a este trabalho?"
"site cont des","Laranja = Contato no local"
"job task","Tarefa de trabalho"
"ftick task","Tarefa FT"
"quote task","Citação Tarefa"
"specify rop per task","Especificar ROP Por Tarefa (somente desktop)"
"wo","WO"
"same as job","O mesmo que Job"
"good morning","Bom dia."
"good afternoon","Boa Tarde"
"good evening","Boa noite"
"sent to tech","Enviado à Tecnologia"
"conf with tech","Confirmado com a tecnologia"
"vehicle cat","Veículo Cat."
"lead for work order is the driver for vehicle","A liderança para a ordem de trabalho é o motorista deste veículo"
"must have driver for vehicle","Você deve ter um motorista para este veículo"
"warning user has not passed req training","Advertência: <USER> não passou no treinamento necessário para este trabalho."
"warning user has not passed req training task wo","Advertência: <USER> não passou no(s) treinamento(s) necessário(s) para as tarefas designadas nesta OMA."
"crew lead add crew to work order","<USER> é um líder da tripulação.\nVocê gostaria de acrescentar esta tripulação a esta ordem de trabalho?"
"add crew","Adicionar tripulação"
"shop report time","Relatório para comprar"
"end time","Tempo final"
"end dt","Fim Dt"
"assign tasks","Atribuir tarefas"
"assign","Atribuir"
"assign time","Atribuir tempo"
"qty","Qtd."
"show qa","Mostrar Q/A"
"name","Nome"
"driver","Motorista"
"wo status log","Status Log"
"conf with cust","Confirmado com Cust"
"tech returned ft","FT Tecnologia Retornada"
"wo address","Endereço WO"
"leave blank to use job addr","Deixe em branco para usar Endereço de trabalho"
"wo notes","Notas WO"
"copy po from","Copiar PO de"
"last edit","Último"
"must specify date for wo","Você deve inserir uma data para esta ordem de trabalho"
"no task assigned to leave click cancel","Nenhuma tarefa foi designada. Para deixar este formulário sem atribuir tarefas, clique em 'Cancelar'."
"must select a tech to save","Você deve selecionar um técnico antes de economizar."
"start time cannot be blank","A hora de início não pode estar em branco."
"tasks selected but no time","As tarefas foram selecionadas, mas nenhum tempo é designado para as tarefas selecionadas."
"completed same after departed night work exception","O tempo completado deve ser o mesmo ou após o tempo de partida. O trabalho noturno pode ser uma exceção. Você gostaria de corrigir isto?"
"completed same after arrived night work exception","O tempo completado deve ser o mesmo ou após o tempo de chegada. O trabalho noturno pode ser uma exceção. Você gostaria de corrigir isto?"
"completed same after started night work exception","O tempo de conclusão deve ser o mesmo ou depois do tempo de início. O trabalho noturno pode ser uma exceção. Você gostaria de corrigir isto?"
"correct","Correção"
"leave as is","Partir como está"
"departed same after arrived night work exception","A hora de partida deve ser a mesma ou após a hora de chegada. O trabalho noturno pode ser uma exceção. Você gostaria de corrigir isto?"
"departed same after started night work exception","A hora de partida deve ser a mesma ou após a hora de partida. O trabalho noturno pode ser uma exceção. Você gostaria de corrigir isto?"
"arrived same after started night work exception","O tempo de chegada deve ser o mesmo ou após o tempo de partida. O trabalho noturno pode ser uma exceção. Você gostaria de corrigir isto?"
"wo promised not same as started","Esta OMA foi prometida em <PROMISED>. Você tem certeza de que quer que a hora de início seja <STARTTIME>?"
"wo cannot be over 24 hrs create 2nd wo","Se mais de 24 horas de trabalho precisarem ser agendadas, favor criar uma segunda ordem de trabalho."
"work order invoiced be careful","Nota: Esta ordem de trabalho foi faturada. Por favor, pise com cuidado."
"work order invoiced read only","Nota: Esta ordem de trabalho foi faturada e, portanto, é somente para leitura."
"work order field ticket be careful","Nota: Esta ordem de trabalho tem um bilhete de campo correspondente. Favor pisar com cuidado."
"work order field ticket some read only","Nota: Esta ordem de trabalho tem um bilhete de campo correspondente. Alguns campos são, portanto, apenas para leitura."
"est dur","Est. Dur"
"opening tech view","Abertura em Tech View..."
"wo does not have ft create it","Esta OdT ainda não tem um FT. Criá-lo agora?"
"create ft","Criar FT"
"no wo for job create now","Não há ordens de trabalho para este trabalho\n(o trabalho é criado mas ninguém é designado / programado para fazer o trabalho).\n\nVocê gostaria de criar uma ordem de trabalho agora?"
"create wo","Criar a WO"
"continue saving","Continuar Salvando"
"dont show again","Não volte a aparecer"
"save changes","Economizar mudanças?"
"want to save changes","Você gostaria de salvar suas mudanças?"
"must set a tent start date","Você deve estabelecer um Tenatative Sched. Data"
"retention","Retenção"
"po req but no po","Este cliente requer um PO, mas nenhum PO foi inserido.\nVocê gostaria de entrar com um PO agora?"
"req no req but no req no","Este cliente requer um número de requisição, mas um número de requisição não foi inserido.\nVocê gostaria de inserir um No. de Requisição agora?"
"new job","Novo emprego"
"new wo","Novo WO"
"office view","Vista do escritório"
"tech view","Vista Técnica"
"new wo for job","Nova WO para este trabalho"
"ft","FT"
"sel tech not in list","Selecione uma tecnologia que não esteja na lista"
"sel veh not in list","Selecione um veículo que não esteja na lista"
"quick list items","Itens da lista rápida"
"list preface","Prefácio da lista"
"you must select at least 1 item","Você deve selecionar pelo menos 1 item"
"call office","Escritório de chamadas"
"actuals","Atuais"
"quotes","Citações"
"quote","Citação"
"find quote","Encontrar citação"
"prepared for","Preparado para"
"quote dt","Citação Dt"
"tent start","Tenda. Início"
"lead source","Fonte de chumbo"
"print","Imprimir"
"full pricing","Preço total"
"full but no each","Cheio, mas sem "cada um"."
"total only","Total Apenas"
"line items only","Somente itens de linha"
"report","Relatório"
"unknown","Desconhecido"
"linked quotes","Citações vinculadas"
"converted to job","Convertido em trabalho"
"open job","Trabalho em aberto"
"unlink from job","Desvinculado do trabalho"
"view mod cust","Ver / Modificar Informações de Contato"
"distance","Distância"
"for","para"
"must set a quote date","Você deve estabelecer uma data de cotação."
"quote converted read only","Esta citação foi convertida para um trabalho e agora só é lida."
"quote converted nsi read only","Esta citação foi convertida para um NSI e agora só é lida."
"quote signed read only","Esta citação foi assinada e agora só é lida."
"confirm unlink quote job","Você tem certeza de que deseja desvincular esta citação do trabalho: <JOBSID>?"
"cannot link job to multiple quotes","Não é possível vincular trabalho a múltiplas citações. O trabalho já está vinculado a cotações: <QUOTEID>"
"quote price","Preço das cotações"
"delete sig","Eliminar Assinatura"
"del sig quote","A eliminação da assinatura eletrônica 'desassinará' esta citação!\nSomente apague a assinatura se for necessário fazer correções e o cliente estiver disponível para renunciar a ela."
"live chat","Bate-papo ao vivo com suporte <APPABBR>"
"pic still saving cant del","Esta foto ainda está economizando para o seu servidor. Você pode excluir uma vez que tenha sido totalmente salva. Por favor, tente novamente dentro de alguns minutos."
"must view training docs","Você deve visualizar os documentos / vídeos de treinamento antes de poder enviar este treinamento."
"link to quote","Link para a citação"
"view quote","Ver Citação"
"cannot link quote to multiple jobs","Não é possível vincular a cotação a múltiplos empregos. A citação já está vinculada ao emprego: <JOBSID>"
"new quote","Nova citação"
"not on job","(Não em Trabalho)"
"assign qty","Atribuir Qtd."
"start tacking time","Iniciar o tempo de rastreamento"
"stop tacking time","Parar o tempo de rastreamento"
"must take pics","Você deve carregar pelo menos <CNT> foto(s)"
"allocate task time","Atribuir o tempo da tarefa"
"task %","Tarefa % Tarefa"
"must allocate 100%","Você deve alocar todo o tempo (100%)"
"cannot allocate more than 100%","Não se pode alocar mais do que 100%."
"must allocate task time","Você deve alocar seu tempo de tarefa."
"add task","Adicionar tarefa"
"add missing task","Adicionar tarefa em falta"
"help docs","Docs de Ajuda"
"convert to job","Converter-se em emprego"
"confirm convert quote","Você tem certeza de que quer converter esta citação em um trabalho?"
"confirm convert quote nsi","Você tem certeza de que quer converter esta citação em um NSI?"
"convert","Converta"
"quote converted open job","A citação foi convertida em id de trabalho: <JOB>"
"open quote","Cotação aberta"
"other addresses","Outros endereços"
"send to cust","Enviar para o cliente."
"no link found to send to cust","Nenhum link encontrado para enviar ao cliente."
"cust never signed and link has timed out","O cliente ainda não assinou e o link já foi programado."
"send link","Enviar link"
"send","Enviar"
"qr code","Código QR"
"cell #","<LBLCELL> #"
"must select an option","Você deve selecionar uma opção"
"must enter a valid phone number or name","Você deve digitar um número de telefone ou nome válido"
"must enter a valid phone number","Você deve digitar um número de telefone válido"
"customer has signed","O cliente assinou"
"get customer sig","Obter a assinatura do cliente"
"on my device","No meu dispositivo"
"text link to","Link de texto para"
"no site cont found","Nenhum contato no site encontrado"
"qr loading","Geração do Código QR"
"sig link sent","Link de assinatura enviado"
"texting sig link not avail offline","O link de assinatura de texto não está disponível enquanto você estiver offline."
"cust sig link expires in","O link expira em"
"on this device","Sobre este dispositivo"
"on cust device","Sobre o dispositivo do cliente"
"failed to get cust sig","Falha em obter a assinatura do cliente"
"reason","Motivo"
"must select reason no cust sig","Você deve selecionar o motivo pelo qual não obteve uma assinatura do cliente."
"no one","Ninguém"
"need cust sig ft depart","Uma assinatura do cliente é necessária antes de poder enviar este bilhete de campo. Normalmente, você deve obter a assinatura antes de deixar o local de trabalho. Você gostaria de obter a assinatura agora?"
"get sig","Obtenha o Sig."
"need cust sig ft submit","Você deve obter uma assinatura do cliente ou especificar por que você não conseguiu obter uma assinatura do cliente antes de poder enviar este bilhete de campo."
"filter terms","Termos do filtro"
"delete term","Excluir termo: <NOME>?"
"term","Termo"
"notify on job entry","Notificação de entrada no trabalho"
"this is a cod term","Este é um termo COD"
"job terms are 1","As condições de trabalho são:\n\n<TERMS>\n\nAchei que você gostaria de saber!"
"job terms are 2","As condições de trabalho são:\n\n<TERMS>\n\nIsso não é interessante!"
"job terms are 3","As condições de trabalho são:\n\n<TERMS>\n\nPor favor, tome nota disso!"
"job terms are 4","As condições de trabalho são:\n\n<TERMS>\n\nPor favor, comporte-se de acordo!"
"cust terms are 1","Os termos do cliente são:\n\n<TERMS>\n\nAchei que você gostaria de saber!"
"cust terms are 2","Os termos do cliente são:\n\n<TERMS>\n\nIsso não é interessante!"
"cust terms are 3","Os termos do cliente são:\n\n<TERMS>\n\nPor favor, tome nota disso!"
"cust terms are 4","Os termos do cliente são:\n\n<TERMS>\n\nPor favor, comporte-se de acordo!"
"unlink quote","Citação sem ligação: <QUOTE>?"
"quote is already linked","Citação: <QUOTE> já está ligado."
"link to existing quote","Link para citação existente"
"create and link new quote","Criar e link para nova citação em branco"
"copy and link new quote","Cópia e link para nova citação"
"copy new quote","Copiar para nova citação (não vincule)"
"quote linked to another series","A citação selecionada está vinculada a outra série.\n\nVocê tem certeza de que quer vinculá-lo a esta citação?"
